Date Time,Elapsed,B2,C2,D2,E2,F2,G2,B3,C3,D3,E3,F3,G3,B4,C4,D4,E4,F4,G4,B5,C5,D5,E5,F5,G5,B6,C6,D6,E6,F6,G6,B7,C7,D7,E7,F7,G7,B8,C8,D8,E8,F8,G8,B9,C9,D9,E9,F9,G9,B10,C10,D10,E10,F10,G10,B11,C11,D11,E11,F11,G11
2022-04-29 18:43,0,303,305.75,293.25,290.75,303.75,270.5,326.75,325.5,315.5,266.25,286.25,325.75,348.75,313.25,305.25,295,287,330.75,297,289.25,282.25,298.25,292.25,300.25,314.25,302.25,293.5,253,279.75,313.5,317.25,278,268.25,292.25,270.5,295.25,302.25,287.75,282.75,283.25,301.75,313.5,306.75,277,263.5,301.5,280.75,313.5,329.75,311,316,316.75,308.75,311,320.75,318,277.75,318,341.75,307.25
2022-04-29 20:43,2,320.5,326.25,310,315.75,311,286,363,349,337.25,287.75,274.25,346,380.25,326,321.25,320,298.75,358.75,321.5,313.25,304.25,322.75,297.25,324.25,341.5,318.5,323.75,272,283.75,332.75,334.25,299,286.25,309,288.5,314,324.75,309.75,305.75,305.75,323,320.25,324.25,298.5,285,322,293.75,332,351,328.5,333.25,332.25,330.25,328.75,340.25,331.25,300,339.25,365,323.75
2022-04-29 22:43,4,347.25,355.25,328.25,333.75,316.25,304.5,379.5,371.75,355.25,305.75,271,368.5,402.5,339.75,346.25,334,301.25,375.75,338.25,335,321.75,340.75,311.25,339.25,360,347.25,339.5,290.75,292.5,355.5,365.25,316,313.75,327.75,308.5,340.5,347.25,334.25,329.5,321.25,345.75,348.5,358.75,313.25,306.75,337.25,321,353.75,376.75,353.75,363,346.5,356.5,351.75,362,355.25,316.75,346.5,382.75,346.5
2022-04-30 0:43,6,369.25,382.25,356,346.75,321.5,328.75,401,392.75,376,319.25,268.75,387.25,432,353.75,366.75,347.75,314.25,401.75,365.5,359.25,341.5,358.75,313.75,365.5,388.25,362.25,357.25,301.5,301,383.25,383.75,332.5,324.5,338,323,362.75,373.25,354.25,345.75,334.75,366.75,373.75,381,335,326.5,347.75,339.25,378.25,395,370.5,379.25,368.25,378.25,381.25,386.25,373,343.5,361.75,403,379
2022-04-30 2:43,8,400.75,400.25,389.75,366.5,321.5,355.5,439.25,424.5,404.25,342.25,268.75,416.75,455,385.5,395.5,365.75,317.75,433,392.25,386,366.5,376.25,317.5,395.75,422.5,392.5,379.25,317,308,407,411.25,351.5,343.25,354.25,356,394.25,398,383.75,366.25,348,396.5,404.75,405.75,364.5,343.25,363.5,362.5,414.5,431,407,400.5,374,409.5,412.25,417.25,409.5,368,376.5,440,404.75
2022-04-30 4:43,10,427.5,436.25,417,383.5,327,381.5,469.5,459,436,357,267,458,507.25,420.25,421,382.5,318.75,466,422.5,412.75,394.75,397,319.5,434.5,456,424.5,405.25,326.75,314.75,437.75,447,382.5,366.25,363.75,386,419.5,448.5,409,389,357.75,428,443.75,444,396.25,362.5,370,398.5,448.5,469.5,435.25,435,391,439.25,452.75,453.25,440.75,390,391.25,483.25,436.5
2022-04-30 6:43,12,463.75,476.25,444.75,401.75,331,414.75,516.25,498.25,470.25,375,270.75,505.5,546,452.75,453,407,322.75,515.75,466.75,451.75,418.25,408.5,326,471.25,489.5,468.5,429.25,342.75,318.5,482.25,485.5,423,390.75,371.5,409.5,457.25,483,438.5,415.25,367.75,465.5,482.5,479.5,430,384.75,386,431.75,484.25,510.25,467,456.75,395,481.5,488,491,470.75,407.25,395,513.75,474.25
2022-04-30 8:43,14,510.5,510.5,472.75,418.5,328.75,451.25,562.5,546.5,503.25,386.5,267.25,546.25,586.5,496,493,426.75,318,565,501.5,496.5,442.5,421.25,321.75,515.75,529.25,506,466.75,364.5,320.25,525,526.25,448.25,410,386,458.25,495.25,528,478.25,438.25,376.5,504.25,525.25,519.25,463.75,408.5,390.5,465,524.5,557.75,511,477.75,407.75,529.75,531.5,543.5,513.25,436.5,406,577,518
2022-04-30 10:43,16,542,558,499,438,329.5,495.25,608.75,586.25,545.75,403.75,264.25,597.25,647.25,552,529,439.75,326,615.25,541.5,537.5,473.75,437,326.5,557.75,574,546.5,501.5,373,322,578.5,571,489,436.25,389.75,488.25,546.75,562,517.75,473.75,386.5,549.25,566,556.5,510.5,435.5,404.5,507,572,600.25,547.75,508,419.75,571.25,567.75,593.75,549.25,463.25,416.75,623.75,555.25
2022-04-30 12:43,18,595.5,600,543,454.75,330.25,534,663.25,635.75,580.5,425.75,263.5,637.5,696.75,594.5,562.5,451.5,324.75,661.75,594.75,571.75,514.75,452.5,332,598,615.25,590.5,544,385.5,324.5,625,618.5,521,457.25,399.5,537.5,574,603,564.25,499.25,395.75,597.25,614,597,541.75,458,406.25,542.5,610.5,648.5,590,531,427.5,608.75,611.75,637.25,594.25,492.5,425.5,662.5,606
2022-04-30 14:43,20,652.25,648,575.5,467.5,332,576.5,709.25,693.5,627.25,436,261.75,695.25,757.75,626.25,595,469.75,326.75,717,644.5,619,556,469.75,334.25,645,666,637.25,590.75,404,331,667.25,665.5,573,477.5,406.25,576.75,623,651,600.5,532,402.75,649.75,657.75,651,595,473.5,414,584.75,672.25,697,640,558.5,437.75,661,667.75,679.5,643.25,512.5,435,708.75,656.5
2022-04-30 16:43,22,704.5,715.5,621.25,488.25,330.75,618.5,767,748.75,662.75,450.25,265,728.75,814.75,668,640.25,486,329.75,768.5,689.25,676.5,593.25,486.25,339.75,692.75,715,686.25,626.75,419,331.75,710,728,613.5,511.5,417.25,627.25,684.75,707,649.75,556.25,409.25,705.25,723.25,707,626.25,500,418.5,650.75,717,758.75,683.5,604.5,442,718.25,723.25,734.75,683.75,538,442.25,770.5,717.75
2022-04-30 18:43,24,758.25,771,678.75,499,335,677.5,845.75,807.5,716,463,267.25,801.25,888,721.5,692.5,494.25,330.5,833,753.25,725.5,639.25,498.75,339.5,758.25,792.5,740,664.75,429,333.5,778,787.75,666,536.75,422.25,688,752.5,773,702.75,580,416.25,752.25,789.25,781.75,675.75,534.75,429.25,710,798,827.25,747.5,632.75,450.75,789.5,803.25,804,750.75,566.75,449.75,848.75,784.75
2022-04-30 20:43,26,832.25,846.25,737.25,505.75,341.25,753.75,925.25,892.75,777.5,486.5,267.5,891.75,976.5,789.75,749.75,514.5,333.75,913.25,827,792.75,690,516,342.25,847.25,866.5,816,714.5,445.75,335.5,842.25,875.25,720.5,569,425,753.5,822,857,766.5,613.75,419.25,840.75,868.25,861.5,735.5,567.5,433.25,763.5,874.25,905.25,807.5,666,457.75,863,890.5,898.25,819.75,596.5,464,951,870.75
2022-04-30 22:43,28,907.75,932.25,804.25,527.75,348,816.5,1007.5,971.5,844.75,491.75,269.25,975.25,1072.25,878.25,819.75,529.25,332,1010.75,905,875,741.25,536,346.5,910.25,948.25,885.75,775.75,459.25,337.5,928.75,955.25,791.75,615,429.75,822.25,895.75,948.5,848.75,652.75,428.75,917.5,943.75,941.75,811.5,607,442,841,961.25,994.25,882.25,711.5,460.5,948.5,960,977,892.25,637.75,459.5,1033.5,950.5
2022-05-01 0:43,30,986.25,992.25,873.5,548.5,355.25,886,1099.5,1069.5,903.5,512.75,269.25,1075,1171.75,963.5,891.5,543.25,338.5,1108.75,991.75,963.25,808.5,556.25,352.75,997.5,1027,977,846.25,475.75,341.25,1014.25,1035.75,869.25,640.75,435.5,889.25,966.25,1029,923.25,695,435.75,1008.75,1041,1014,894.5,651.5,446,918.5,1034,1086.75,970,768.5,463.25,1027.25,1043.5,1072,976.25,692.25,459.5,1140.25,1038.75
2022-05-01 2:43,32,1066,1091.75,945.75,564.25,351.5,960.25,1191,1159.25,996.5,521.25,274.5,1158.25,1280.25,1064.25,975,559.75,347,1199.5,1070.5,1042.5,875,570.5,350.75,1070.5,1107.5,1065.5,916.75,485.5,349.75,1108,1112,951,697.5,440.75,964,1056,1110.25,1008.5,740.25,448.25,1101.5,1121,1087,958.75,694,448.5,1010.25,1123.75,1178,1045.75,821.75,467.75,1114.75,1119.25,1148.75,1052.25,756.75,475,1237.25,1113.5
2022-05-01 4:43,34,1157.25,1166.25,1020.75,583.75,360,1042.5,1286.5,1262.75,1060.25,536.25,276,1252,1396,1154.5,1049,575.75,346.25,1293.75,1168.25,1138,955.75,598.75,351.5,1173.25,1211,1149,1006.75,497.25,355.75,1206,1199.25,1015.5,751.25,450,1053.25,1142.25,1187,1086,800.25,453.25,1197.5,1215.5,1179.75,1049.25,744.75,456.75,1084.5,1217.25,1274.25,1142,873.25,475.5,1217.5,1210.75,1256,1130.5,789.5,476,1319.25,1208.5
2022-05-01 6:43,36,1272.5,1258.5,1099.75,603.5,359.5,1125.75,1394.5,1365.5,1158.5,549.75,271.25,1337,1487,1234.75,1123.5,595,353,1386.25,1255.75,1214.5,1031.75,612,356.25,1273,1304.25,1238,1084.75,513.5,360.25,1302.25,1295.75,1104,799,450.25,1142.25,1249,1286.25,1176,857.5,453.75,1294.75,1333.25,1283.75,1131.25,794.25,469.75,1184.75,1321.5,1369.25,1240,938,478,1312.75,1314.25,1342.25,1229,852,486,1409.25,1312.75
2022-05-01 8:43,38,1381,1368.5,1191,623,361.75,1230.25,1523.5,1468.75,1261.5,578.75,273,1434.5,1611.5,1309.75,1210.75,607.25,356.5,1505.25,1372.5,1318,1113.5,641.5,353.5,1373,1429.25,1325.25,1172,526.5,363.25,1373.75,1409.25,1195.5,860,457.25,1243,1378.75,1402,1267.25,923.5,460.5,1388.25,1445.75,1395.25,1222.25,848.5,472.75,1290.25,1445.75,1502,1344.5,997,483.25,1433.5,1439.25,1470.75,1337,910,478.75,1524,1426.25
2022-05-01 10:43,40,1494.5,1492.75,1313,653.75,357,1334.5,1666.25,1610.5,1356.25,607.5,277.75,1542,1760,1416.75,1315.25,637,358.25,1619,1492.75,1427,1208.75,662,355,1491.75,1566.75,1451,1270.25,553.5,360.25,1495.75,1551.75,1304,926,461.75,1356.75,1492,1534.5,1386.75,992.5,466.5,1503.5,1575.75,1527,1313,898.5,463.75,1408,1574.75,1632.5,1460.75,1060.25,493,1559.5,1590.5,1589.25,1450.5,979.25,488.75,1703.25,1570.75
2022-05-01 12:43,42,1632.25,1619,1427,683,363.25,1451.5,1820,1730.75,1476.5,637.25,275,1701.25,1929.5,1554.5,1431.75,670.75,352.5,1781.25,1630.75,1566.75,1310.5,688.25,354.25,1643.5,1707.5,1587.5,1363.75,576.75,360.75,1623.5,1710.5,1402.5,980.75,477.75,1469.5,1615.25,1690.25,1504.75,1053.75,477.5,1653.5,1721.75,1673.25,1437.75,970.25,484,1529.25,1740.25,1777.25,1598.75,1142,494.25,1699.5,1732,1751.75,1586,1044.5,492.25,1862.75,1716
