Date Time,Elapsed,B2,C2,D2,E2,F2,G2,B3,C3,D3,E3,F3,G3,B4,C4,D4,E4,F4,G4,B5,C5,D5,E5,F5,G5,B6,C6,D6,E6,F6,G6,B7,C7,D7,E7,F7,G7,B8,C8,D8,E8,F8,G8,B9,C9,D9,E9,F9,G9,B10,C10,D10,E10,F10,G10,B11,C11,D11,E11,F11,G11
2022-04-29 18:43,0,277.25,298.5,273.25,251,186.75,98.25,277.5,279,269.25,255.75,236.75,164.75,289,282.5,263.75,225.75,199.25,127,263.25,286.75,279.5,237.75,197.5,113.5,280.25,255.25,272.5,246,236,151.25,292,268,315.5,234.25,221.5,134,283.5,251.25,275,252.75,243.5,132.75,264.75,293.5,274.75,239.25,204,116.75,286.25,287.25,293.5,261.75,218,148.25,263.25,303.5,298.25,262.25,234.5,121.75
2022-04-29 20:43,2,307.5,311.5,290,268.5,203,102.75,290.5,304.75,292.25,270,252.5,178.5,310.75,304,283.5,238,216.5,135.25,283,306.75,297.75,249.25,209.75,121.5,296,270.25,274.75,267.5,248.5,158.5,310.75,282.5,293.75,246.5,231.75,146.5,299.5,273,267.25,274.5,255.75,140.25,281.75,321.25,274,249,214,121.25,280.75,266.5,298,267.5,224,153.5,258.25,291.25,309,275.25,232.75,128.75
2022-04-29 22:43,4,315.75,330.75,304.5,282.75,223.25,111.75,313,320.25,303.25,301,274.25,190.5,331.5,318,298.75,254.25,237,145,301.75,325,306.75,274.75,223.25,132,310.75,285,289.75,289,268.75,173,333.25,299,293.25,268.75,255,153,323.5,282.25,273,297.75,273.25,149.75,304.25,330.75,276.5,271.75,230.75,131,279.5,255,317.25,294.75,240,164,252.75,288.25,330.75,299.75,253,135.25
2022-04-30 0:43,6,339,344.5,310.25,297.5,237,119.25,336.25,335.25,310.25,325.25,296.5,201.25,352.25,334.25,303.25,271.25,257,153.75,323.5,340.5,311.5,290.5,232,138.75,332.25,288,290.25,302.25,283.25,182.25,351.75,308.5,289.75,288.25,267,170.5,348,292.5,277,314,287.5,156.25,324.5,337.5,281.75,282.5,247,137,274.25,250,321.75,308.75,253.5,171.75,253.25,281.75,348.25,312.75,266.5,144.25
2022-04-30 2:43,8,371,379.75,315.75,321,256.25,128,360,355.75,313,336.75,319,215.25,373.25,351.25,311,289,267,161.75,348.5,363.5,316.25,304.75,256.75,144.5,358.25,304,287,320.25,301.75,194.5,380.25,323,291.25,301.75,283.75,181.75,373.25,303.25,273.5,337.75,300.75,169.25,340.5,357.25,280.75,303,269.5,151.75,273,243.75,337.75,320.25,262.25,183.75,255,277.5,372,338.25,280.25,150
2022-04-30 4:43,10,403,409,324.75,350.75,273,134.25,388.5,381,320.25,361,336.75,231.25,404.5,378.5,319.25,307.25,288.5,178.5,380.5,385.25,322.25,329,275.75,153.75,388.5,319.75,293,344.75,328.25,204.75,408,335.75,291,336,308.25,195.25,406.25,313,273,359,328,185.25,375.75,377.5,282,328.75,282.75,162.5,276.5,243.5,353.75,342.75,285,199.25,257.5,278,408,360.75,299,161.75
2022-04-30 6:43,12,431.5,439.25,335.75,383.75,298.25,146,420.75,409.5,334,389.25,365.5,245.25,444.75,408.25,324.5,333.5,315.25,195,409,409,328.75,358,299,172.5,426.25,333.5,292.25,374.75,355.75,230,446.25,353.25,291.5,363.25,332.75,208.5,440.75,326.5,269.75,390,355,200,406,388,281.5,360.75,305.75,176,273.75,245.5,400,375.5,301.75,211.5,253,279,444.5,383,320.25,182.75
2022-04-30 8:43,14,464.75,474,343.25,412,317,162.75,456.5,441.5,336.75,424.25,401.25,274.5,482,450.5,333,368,338.75,208.25,444.5,444.5,337.25,393.5,328.25,186.25,470.25,351,293.75,413,391.75,246.5,481,376.25,288.75,393.5,365.25,225.75,477.5,345.75,270.5,421.25,382.25,223.75,439.5,411.25,279,391.25,330.25,191,273.5,245.5,416,401.25,317.75,226.5,253,277.5,480.25,406.5,337.5,197.75
2022-04-30 10:43,16,507.5,511.25,350.5,443.25,337,171.5,497,479.5,340.5,459.5,428.25,295.25,525.5,482.75,338.5,398.25,372.5,224,479.75,479,341.25,428.25,348.25,197.75,506.25,375.5,299.5,455.25,427.25,269.25,528,403.5,294,422.5,401.75,240.5,511.75,369.75,276,463,424.75,234.5,478,433,278.5,427.75,364.25,210.75,272.75,242.25,435,421.25,335,240.5,254.25,280.5,520.25,434,357.75,208.25
2022-04-30 12:43,18,545.5,550.5,358,482,370.75,184.25,536,527.25,345.25,505.5,467,321,566.75,521.5,342,439.25,403.75,248,515.75,524.25,350.25,466.75,376,214.75,545,406.75,299.5,498.5,453.75,290.75,572,430.5,291.75,459.25,430,263,555.5,405,280.75,500,456.75,252.5,510,465,284,467.75,398.5,222.5,275,239,450.5,456.5,355.5,253.5,254.5,283.75,548.25,455.5,377.5,219
2022-04-30 14:43,20,587.25,593.25,363.5,521.25,400,203.5,576.5,568.75,348,546.25,505.75,343.25,619,569.75,347.75,471.5,441.5,265.25,568.5,569.25,355.25,497.75,401.25,233.25,577.75,428.75,295.5,536,492.5,309.5,616.25,457.5,288.5,494.25,460.75,283.75,594.25,449.5,272.5,556.25,504.75,270,555.5,506,280.75,501,428,240.75,276.75,241.25,467.75,480.25,374.5,271.5,254.25,281,579,498,395.5,225
2022-04-30 16:43,22,642.25,633.75,370,573.25,441.5,219,629.75,617,361.75,600.5,554,367.5,653.25,612.5,352.75,502.25,470,286,606.5,630,364.5,542.5,445.25,250.75,620,465.75,297.5,568.5,526,333.75,669.5,506.5,287,534,501,308,644,483.5,269.25,592,534.75,288.75,602.5,552.25,283,538.75,463.75,261.75,278.75,238.75,493.25,511.5,392,278,259.25,285,607.75,521.25,416.5,236
2022-04-30 18:43,24,707.25,695,375.5,613.5,482.5,236,671.25,674.25,363.5,648,604.25,399.25,711,656,358.5,544.75,518.5,306,661,679.25,362.5,582.25,479,272.5,680.5,509.75,300.75,611.25,566,356.25,725.25,548,282.5,581.75,549.75,338.5,716.5,514.75,274.5,641.25,583.25,312.75,656,592.75,283.25,571.5,506.25,279.75,275.75,240.75,522.5,536.75,407.75,291,263.25,286.5,668.25,551.25,426.75,239.5
2022-04-30 20:43,26,776.25,771,377,673.5,515.25,250,745.5,732,367.25,706.25,659.75,437.25,799.5,716.25,360.25,585.25,563.25,335.75,734.5,731.25,369,636,529,295.5,754.75,548.25,302.5,678,640,384.5,784.25,573.25,284.5,635.5,598.5,363.75,776.75,542.25,267.75,705.5,638.75,335.25,725.5,636.75,283,634,555.75,303.5,278.5,234,561.75,585.75,419.75,300.5,258,289.25,696.25,594,443.75,248.75
2022-04-30 22:43,28,839.75,833.5,384.25,741.75,566,277.5,817,786.5,369.5,764.25,724.5,470.25,856.25,781.25,368,650.5,600,366.5,811.25,803.75,370.25,704.25,578.75,325.25,823.25,573.25,298.5,730.5,702.75,428,856.25,609.75,281.5,706.75,652.75,387.25,849,570,267.75,757.5,696.25,369.75,797.75,679.5,284.25,702.75,599.25,330.5,281.25,233.75,605.25,625.25,434.25,309.5,262.25,283,755,654.75,463.25,257
2022-05-01 0:43,30,922.5,904.25,391,803.5,621.5,298.5,897.25,871.25,380,838,784,517.25,955.5,851.75,370,712.25,666.25,402.5,884,858.75,376.25,763.25,632,355.25,910.25,630.5,302.5,812.25,769.75,472.25,931.25,644.5,282.5,767.75,714.75,426.25,930,614.75,271.75,832,751.75,411,863.25,735.75,279,758,663,361.5,285,234.75,667,667.75,461.25,326.5,263.5,285.5,811.5,696.75,484.75,273.75
2022-05-01 2:43,32,985,987.25,400.5,878.75,659.25,325.75,960.25,952.5,380.75,896.75,853.5,571.25,1020.25,932.25,375.25,787,729,439.5,952.25,931,380.25,824.75,692.75,385.25,985,672.75,299.5,899,837.25,507,1031.5,694,284.75,831.25,784.75,452.75,1017.5,648.25,270.5,911,827.25,440,933,775,281.25,833.5,726.25,387.25,285.25,229.75,706.5,711.25,490,351.25,264,284.5,908,743,506.75,285.5
2022-05-01 4:43,34,1075.75,1067,406,954.5,727.5,355,1048,1046.25,387.5,983.25,923,614,1121.75,1010,374.75,844.75,801.5,470,1037.25,1016.25,390.25,896.25,734.25,412.25,1052.5,723.25,296.75,964,895.25,543,1120.5,753.75,281.5,900.5,847,485,1092,693.25,263.75,996,893.75,477.25,1013.75,829.75,283.25,911.75,788,420,282.25,230.25,739.5,766.25,510.5,366.5,267.5,279.25,976.75,804.5,533.25,310.75
