Vessel Name: DLD1_B18_Cisplatin-Veh_20220429
Metric: DLD1 NuclightRED B18 Count (Per Image)
Cell Type: DLD1 NuclightRED
Passage: 14
Notes: 
Analysis: DLD1 NuclightRED B18

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
2022-04-29 8:00:00 PM	0	838	835	1031	856.5	1067	552.25	848.5	984	1016.75	984	996.5	559	898.5	956.25	1004.5	937.25	817.25	567.25	1008.5	1096	985.75	950	850.75	550.5	1008	994.25	1129.75	931.75	901.25	502	963	1062.75	1162	1018.5	924.75	550.25	912.75	967.75	932.25	953.75	865.75	651.25	974.75	1060.25	911.75	951.75	909.5	603.5	873	991.5	942.25	1014.5	966.5	623.25	830.25	979	867.75	893.5	938.25	624.25
2022-04-29 10:00:00 PM	2	905.5	889.5	1106.25	911	1035.5	598	918.75	1052.5	1095.5	1046	1018	603	972.5	1038.75	1085.75	996.75	826.75	616.75	1083	1198.75	1056.5	1026.5	905	599.75	1077	1082	1208.25	990.75	976.5	536.5	1033.75	1130.5	1256.25	1076.25	992.25	599.75	1001.5	1053.25	998.25	994.25	936	694.5	1054.5	1146.25	973	998	989.5	643.75	934.75	1083.25	1021.5	1082.75	1044.25	662	882.75	1038.25	930	961.25	1006	680.5
2022-04-30 12:00:00 AM	4	921.5	928.75	1145.25	945.5	1031.75	609	964.75	1109	1125.5	1067.75	1033.25	633.5	1003.5	1076.25	1128	1030.75	828.5	641.25	1117	1224.25	1105.25	1058	923.75	622.75	1125.25	1113	1266.25	1024.25	989.75	566	1087.25	1182.75	1300	1088.5	1049.75	617.5	1033.5	1097.25	1027.75	1025.5	984.75	720	1089.75	1191.5	1014.25	1026.5	1031.75	681.75	971	1118.5	1065.25	1112	1081.75	688.75	929.25	1090.75	956.5	1003	1038.25	719.5
2022-04-30 2:00:00 AM	6	980.25	978	1200.25	974	1024.75	640.75	1012.5	1153.75	1178	1109.25	1042	659.5	1057.75	1134.75	1167.5	1055.75	843.5	671.25	1180	1284	1151.75	1076.75	937.5	645	1176	1171	1321.25	1052	1003.75	593.5	1147.5	1241.25	1354.75	1114.5	1097	633.75	1078	1149	1078.25	1034	1033	759.75	1149.25	1249	1063.25	1048.75	1087.75	706	1017.75	1180.5	1104	1141.25	1132.5	722.25	979	1138.25	1011.25	1027	1113	743.75
2022-04-30 4:00:00 AM	8	1023.75	1026.5	1263	1006	1017.5	676.25	1070	1214.25	1234.75	1129.25	1038.5	700	1121	1184.75	1227.75	1085.5	843	701	1233	1348.5	1214.75	1110	948.75	683.75	1243	1215	1357.5	1085.25	1005.5	625	1204.75	1292.25	1404	1123	1146.25	680.75	1149.25	1200.75	1101.5	1045.75	1082.75	807.5	1219.75	1314.5	1092.75	1051.5	1148.75	743.75	1071.75	1256.5	1162.25	1160.5	1202.25	764.5	1029.25	1215.5	1051.5	1047.75	1172.25	779.25
2022-04-30 6:00:00 AM	10	1081.25	1083.5	1322	1037.5	1014.5	712.25	1144	1299.25	1294.75	1149	1037.75	747	1195	1257.75	1277.75	1105.75	851	742.75	1343.75	1430.5	1259.5	1134	956.5	725	1329.5	1296.75	1454	1106	1014	672.75	1280.75	1382.25	1464	1131	1215.25	723.75	1214.25	1265.5	1151.5	1065.5	1148.25	844.5	1273.5	1411	1135	1066.75	1234.5	794.75	1135	1325	1200	1171.25	1284.25	813.5	1076.75	1283.75	1092	1066.5	1246.75	825
2022-04-30 8:00:00 AM	12	1171	1173.5	1391.25	1066.25	1028	790.25	1238	1392.5	1387	1171.5	1046.5	798	1271.5	1350.5	1354.5	1126.75	862	794.25	1452.75	1542.5	1325.5	1159	959	782	1422.5	1400.25	1537.25	1133.25	1023	727	1401.25	1472.5	1532	1137.75	1315.5	772.25	1295	1344.25	1201.25	1077.25	1227.25	927.5	1390.25	1490.75	1183.5	1077.25	1317.25	861	1223.5	1399.5	1241.5	1178.75	1397.5	869.5	1173.75	1380.75	1140	1073.75	1347.75	906
2022-04-30 10:00:00 AM	14	1284.25	1269.75	1484.25	1096.25	1022.25	859.75	1363	1521.5	1476.5	1189.25	1055.5	880.75	1396.5	1482.75	1441	1152	861.5	869	1561.25	1703.25	1421.75	1187.75	960.75	856.25	1565	1521.75	1632.25	1158.75	1024.5	785	1526.75	1617	1592.75	1145.5	1434	859.75	1417.25	1482.25	1239.25	1081.5	1353.5	1038.5	1500.75	1626.5	1249.5	1085.25	1453.25	938	1344.25	1539.25	1319.5	1199.75	1516.75	955.25	1303.5	1502	1196.75	1082.25	1480.75	991.75
2022-04-30 12:00:00 PM	16	1442.5	1403.5	1601	1120.75	1028.25	934	1481.75	1664	1620	1223.5	1071	962	1525.5	1629.25	1552.25	1182.25	865	953.25	1749	1852.25	1529.75	1201.75	962	962	1730.5	1679.75	1783	1181.5	1025.5	847	1682.75	1748.25	1687	1156.5	1583.5	942.75	1565.5	1582.5	1287.75	1086.5	1500.5	1134.5	1652.75	1777.25	1313.25	1095.5	1592.5	1047.5	1465.75	1698.75	1380	1212.25	1693	1047	1430.75	1658.5	1267.25	1080.25	1615.75	1093.75
2022-04-30 2:00:00 PM	18	1566.75	1559	1756.5	1156.5	1029.5	1027	1607.25	1835.25	1754.75	1245.25	1076.5	1048	1682.25	1775.75	1690.5	1226.5	878.75	1050.75	1891.25	2038.5	1632.5	1239	974	1009.5	1904.5	1819	1930.5	1219.25	1030.25	945	1834.25	1930.5	1785	1159.5	1741.75	1033.25	1710.25	1741.75	1358	1090.5	1654.25	1238.5	1799.75	1952	1389.75	1104	1725.25	1141	1615.25	1841.75	1468.75	1213.25	1829.75	1155	1544.5	1792	1342	1087	1778	1193
