Vessel Name: DLD1_B18_CX5461_PDS_20220429
Metric: DLD1 NuclightRED B18 Count (Per Image)
Cell Type: DLD1 NuclightRED
Passage: 14
Notes: 
Analysis: DLD1 NuclightRED B18

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
2022-04-29 8:00:00 PM	0	1285.5	1211.75	1187.75	1147.25	1137.25	1156.25	1193.25	1287	1251	1264.75	1302.5	1191.75	1194.5	1274	1191.75	1183.25	1221.25	1099	1079.25	1158.75	1090.5	1169.25	1279.5	1137.5	1201.5	1185.25	1131.5	1264.75	1228	1168	1085.5	1224	1148.5	1193	1238.25	1222	1134	1082.5	1107	1117.25	1206.5	1138	1173.75	1287.25	1163.5	1210.5	1223.25	1214.5	1244	1158.25	1262.75	1225	1203	1171	1154.5	1141.75	1198.75	1161	1172.25	1174
2022-04-29 10:00:00 PM	2	1375	1309.25	1261.25	1247.25	1234.75	1254.75	1294.75	1395.5	1348.75	1367.75	1410.25	1282.25	1277.75	1382.25	1292.25	1314	1339	1221.75	1203.75	1272	1184	1280	1407.25	1254.5	1349.75	1314.5	1220.75	1376.75	1342.5	1282.5	1211.5	1378.5	1226.5	1294.25	1374	1325.25	1254.5	1192.75	1212.25	1238.25	1311	1248.75	1273	1391.5	1252	1331	1324.75	1296.75	1182	1117.5	1376.75	1337.25	1272.75	1237.5	1104.25	1111.25	1293.75	1247.5	1238	1243
2022-04-30 12:00:00 AM	4	1422.75	1340.75	1267.5	1299	1288	1305	1353.75	1455.25	1344	1431.25	1471	1331	1368	1458.75	1298.25	1391.75	1407.5	1263.75	1294.75	1338	1219.5	1357.75	1463.25	1337.25	1438.5	1353.5	1261.5	1437.25	1418	1348	1307.25	1427.75	1268.75	1367.5	1441.25	1389	1325.5	1257	1233	1316	1389	1290.75	1330	1426	1270.25	1400.25	1398.5	1369.75	1140	1121	1450.5	1397.75	1351.75	1304	1085.25	1101	1372	1315.5	1309.25	1297.5
2022-04-30 2:00:00 AM	6	1511	1419.5	1300.25	1365	1361.25	1375.25	1427.75	1535.75	1379.25	1518	1552.5	1402.5	1462.5	1545.5	1350.25	1476.5	1509	1329.5	1374	1412.75	1245	1427.25	1525.25	1375.75	1488.75	1387.75	1267	1499.5	1465.5	1420.5	1330	1442.25	1270	1424	1493	1455.5	1365.75	1278	1239.75	1344	1422.5	1340.75	1396	1493	1287	1447.5	1469.75	1431.5	1106.25	1103.75	1505	1462.5	1422.75	1339	1073.75	1089.25	1419.25	1373	1373.5	1355.75
2022-04-30 4:00:00 AM	8	1587.5	1485.25	1326.75	1444.25	1423.5	1419.5	1520.25	1625.75	1419.5	1594.25	1623.5	1460.75	1532.5	1607.75	1368.75	1535.25	1558.25	1380	1447.5	1487.5	1282	1487	1598.5	1431.25	1570.25	1424.5	1283.25	1571	1533	1490	1405.25	1501.75	1282.25	1495.5	1553	1506.5	1442.5	1308	1254.25	1427	1513	1404	1489	1530.5	1292.5	1530.5	1566.75	1503.5	1102	1110.25	1567	1521.25	1464.5	1381.5	1053.25	1089.25	1484.25	1440	1411.25	1400.5
2022-04-30 6:00:00 AM	10	1692.5	1572	1341.25	1525.5	1508.75	1503.25	1596.75	1689.75	1433.75	1649.25	1715.25	1545.75	1607	1668.5	1390.25	1616.25	1626.25	1460.75	1517.25	1551.25	1306.75	1567.75	1711.5	1531	1682.5	1497.75	1300.5	1654	1612	1570.25	1507.75	1576.5	1317.75	1576.5	1640.75	1603	1561.25	1392.5	1294.5	1522.5	1611.25	1474.5	1561	1594.25	1305	1623.75	1636	1574.25	1080	1115.5	1672.5	1599	1526	1449.5	1048.5	1076	1562.25	1528.5	1473.5	1467.75
2022-04-30 8:00:00 AM	12	1850.5	1687.25	1368.25	1648.25	1648.25	1647.5	1745	1805.75	1473.5	1806.25	1874.5	1694	1753.75	1823.25	1421.5	1752	1810.5	1580	1639.25	1665.5	1337.75	1689.75	1826.75	1625.25	1784.25	1512	1310.5	1785	1685.5	1679.25	1595	1599.5	1303.25	1664.5	1768.75	1688.5	1635	1401	1303.75	1612.75	1715.25	1566.5	1672.25	1654.25	1315.5	1747	1772	1682.75	1061	1121.25	1804	1697	1600.25	1531.5	1030.5	1069.75	1696.75	1614.25	1568.5	1556
2022-04-30 10:00:00 AM	14	2030.75	1834.5	1388.5	1817.25	1789	1786	1905.25	1952	1499	1957.5	2028.25	1847.5	1952.25	1960	1443	1871.75	1916	1709.25	1780.5	1808.75	1360.25	1830.75	1954.25	1782.5	1922	1593.75	1325.75	1934	1824.25	1801.25	1750.5	1649.75	1316.25	1822.5	1911.25	1847	1774	1431.75	1309.25	1739	1881.25	1746	1838.5	1716	1326.75	1877.25	1928.5	1845	1054.5	1123.25	1943	1831.5	1696.25	1662	1023.75	1068.5	1859.5	1744.75	1678	1680.75
2022-04-30 12:00:00 PM	16	2219	2013	1408.5	1985.75	1949.5	1947	2043.25	2103.75	1510.75	2155.5	2236.75	2020.25	2086.25	2098	1468.5	2058.5	2075.5	1907.5	1956.25	1954.75	1387	2035.75	2202.75	1939	2081.75	1682.5	1342.75	2123.5	2022.5	1953.5	1908	1751.75	1323	2007.75	2116.5	2004	1915.5	1523.5	1337.75	1930.5	2087	1919.75	1970	1849	1340.75	2073	2093.25	2027.25	1033	1126	2147	2011.75	1857.25	1811.5	1020.25	1067.25	2044.25	1894.5	1815	1835.5
2022-04-30 2:00:00 PM	18	2433	2207.25	1428	2162.25	2156.75	2121.25	2255	2344.25	1539.75	2414	2455.5	2217	2312.75	2322.25	1479.25	2300.75	2308.5	2087	2119.5	2127.5	1400.75	2165.5	2340	2110.25	2301.25	1799.75	1353.25	2266.25	2244.75	2169.75	2072.25	1897.25	1332	2195.5	2309.5	2230.5	2115.25	1618	1337.75	2130.25	2220.75	2107.75	2200.75	1978.75	1343.75	2283.75	2318.75	2214.75	1020.5	1130.25	2362.5	2195.5	1998.5	1974	1003.25	1064.25	2243.5	2077.75	1992	1979.25
