Label: HCT116_NuclightRED_B18_DrugScreening
Metric: Red Object Count (1/Image)
Cell Type: HCT116 Nuclight RED
Passage: 8
Notes: 
Analysis Job: HCT116_NuclightRED_B18_DrugScreening

Date Time	Elapsed	B1, Image 1	B1, Image 2	B1, Image 3	B1, Image 4	C1, Image 1	C1, Image 2	C1, Image 3	C1, Image 4	D1, Image 1	D1, Image 2	D1, Image 3	D1, Image 4	E1, Image 1	E1, Image 2	E1, Image 3	E1, Image 4	F1, Image 1	F1, Image 2	F1, Image 3	F1, Image 4	G1, Image 1	G1, Image 2	G1, Image 3	G1, Image 4	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4	B12, Image 1	B12, Image 2	B12, Image 3	B12, Image 4	C12, Image 1	C12, Image 2	C12, Image 3	C12, Image 4	D12, Image 1	D12, Image 2	D12, Image 3	D12, Image 4	E12, Image 1	E12, Image 2	E12, Image 3	E12, Image 4	F12, Image 1	F12, Image 2	F12, Image 3	F12, Image 4	G12, Image 1	G12, Image 2	G12, Image 3	G12, Image 4
31/03/2022 8:00:00 PM	0	1005	622	516	564	741	547	635	514	872	437	756	600	757	627	673	560	704	626	973	609	481	458	833	534	847	1249	446	835	1254	1422	706	1105	1150	971	1017	1005	1019	845	813	1045	998	947	1021	853	577	662	839	714	1271	1164	851	963	1172	1256	1064	1025	1184	1022	1028	947	1164	855	1028	798	1125	981	1006	915	580	531	841	749	1304	1164	812	797	1470	1429	1315	959	1279	1190	1148	974	1222	990	953	898	945	917	966	872	597	526	949	668	1335	1245	893	1060	1248	1330	1051	1005	1443	1125	1260	1170	1312	1178	1121	910	1103	1074	1275	972	562	408	800	633	1278	1244	876	1048	1583	1576	1030	1141	1295	1312	1077	978	1276	1209	1256	1008	1082	1157	1066	1093	550	644	849	920	1370	1458	892	995	1404	1330	1150	1023	1393	1368	1019	1091	1256	1118	1114	1045	1210	1325	1201	1106	576	534	943	842	1262	1268	846	1086	1414	1380	1085	987	1483	1572	1231	1225	1400	1197	1276	972	1252	1119	1142	1078	606	599	885	909	1323	1266	1003	1173	1528	1303	1121	1240	1350	1528	1254	1189	1250	1293	1105	1025	1039	931	1016	987	568	553	773	801	1474	1191	840	1034	1091	1348	1106	1292	1263	1220	1045	1201	1040	1218	990	1001	1077	1284	794	983	646	631	752	782	884	1456	810	866	1141	1185	859	1143	984	1065	817	983	1115	957	1046	1095	840	1002	700	1032	484	514	593	850	622	892	618	1237	440	709	548	1270	618	814	570	1261	627	777	585	1161	536	618	570	955	439	535	643	853
31/03/2022 10:00:00 PM	2	1043	638	502	586	734	569	674	527	906	462	767	620	804	645	715	592	735	669	1013	653	520	471	875	571	855	1304	464	879	1299	1477	722	1131	1223	1001	1059	1054	1076	872	868	1141	1024	957	1096	875	598	673	904	746	1324	1208	900	1034	1202	1267	1101	1084	1263	1057	1058	991	1215	901	1089	849	1172	1030	1048	945	632	555	891	791	1334	1217	858	854	1547	1456	1375	984	1349	1217	1179	1024	1314	1024	993	951	1015	957	1093	931	637	555	991	703	1380	1315	900	1108	1309	1369	1080	1049	1544	1171	1318	1205	1381	1225	1155	954	1134	1125	1295	1037	569	421	838	652	1278	1309	932	1105	1651	1644	1080	1190	1371	1347	1125	991	1325	1271	1300	1081	1122	1222	1141	1113	579	650	890	934	1435	1530	949	1060	1479	1372	1205	1067	1463	1422	1053	1140	1314	1183	1184	1070	1256	1370	1253	1147	623	555	976	901	1305	1313	880	1120	1475	1431	1144	1021	1529	1642	1311	1267	1457	1271	1358	1018	1328	1161	1203	1119	675	625	927	946	1346	1302	1052	1215	1585	1355	1171	1316	1385	1567	1297	1198	1325	1342	1147	1067	1115	978	1038	1048	598	576	845	801	1543	1271	887	1115	1134	1365	1158	1308	1301	1274	1093	1220	1055	1285	1008	1044	1118	1339	815	1005	696	659	782	820	897	1481	829	886	1174	1220	890	1175	983	1067	856	982	1090	962	1009	1106	857	1043	746	1062	516	535	604	906	642	943	658	1276	468	736	558	1305	615	772	568	1258	611	752	580	1137	565	653	577	985	456	552	670	882
01/04/2022 12:00:00 AM	4	1113	673	544	593	777	576	687	562	955	489	812	643	855	668	740	610	781	715	1095	668	570	506	930	602	883	1376	474	907	1355	1538	727	1194	1290	1064	1123	1106	1119	905	906	1150	1053	998	1146	918	653	718	970	813	1352	1283	925	1097	1244	1342	1189	1111	1310	1120	1062	1048	1263	915	1148	876	1238	1067	1087	966	654	580	951	837	1370	1291	880	907	1590	1507	1446	1014	1390	1248	1226	1062	1405	1051	1060	965	1037	1017	1128	978	651	601	1033	735	1450	1318	934	1142	1376	1453	1123	1112	1639	1232	1326	1231	1448	1299	1200	1014	1195	1185	1318	1063	622	440	873	689	1309	1365	967	1114	1727	1689	1127	1278	1427	1404	1172	1052	1415	1317	1343	1131	1175	1267	1203	1141	567	710	941	1001	1466	1578	964	1102	1548	1464	1276	1112	1494	1436	1107	1174	1368	1240	1224	1117	1325	1409	1331	1217	639	570	1036	949	1343	1368	943	1190	1548	1478	1193	1045	1589	1715	1297	1310	1531	1320	1428	1059	1375	1202	1267	1188	707	661	959	987	1389	1315	1075	1248	1698	1395	1215	1371	1410	1615	1349	1272	1374	1364	1211	1120	1164	989	1101	1080	634	630	894	866	1607	1276	912	1136	1163	1418	1227	1320	1332	1319	1110	1232	1117	1327	1056	1096	1150	1398	851	1056	726	690	837	854	922	1507	861	887	1261	1311	920	1186	978	1092	871	991	1100	917	1023	1105	892	1060	752	1115	529	555	658	984	659	979	672	1316	487	738	568	1366	676	813	580	1294	621	752	578	1122	582	690	599	1045	496	577	715	939
01/04/2022 2:00:00 AM	6	1168	697	596	627	830	619	715	597	1004	502	845	686	902	714	779	651	808	761	1143	732	613	525	990	620	946	1455	515	969	1418	1652	784	1285	1361	1139	1178	1155	1191	970	955	1236	1156	1090	1222	962	704	764	1041	830	1462	1339	954	1180	1325	1391	1224	1200	1396	1155	1156	1098	1341	975	1195	920	1312	1131	1150	1053	684	627	1000	853	1469	1347	951	941	1691	1604	1524	1095	1499	1335	1287	1136	1452	1127	1103	1028	1106	1053	1174	1025	689	624	1099	799	1533	1389	996	1204	1452	1520	1163	1158	1737	1297	1423	1308	1566	1380	1259	1076	1259	1271	1427	1083	663	457	927	709	1420	1432	1034	1170	1833	1842	1199	1342	1524	1491	1246	1126	1524	1415	1437	1193	1235	1346	1276	1220	628	752	1003	1008	1543	1648	1020	1146	1610	1580	1328	1230	1559	1518	1155	1218	1459	1329	1310	1187	1398	1498	1405	1294	704	617	1126	980	1443	1434	952	1237	1662	1584	1269	1107	1636	1801	1383	1351	1640	1418	1526	1096	1461	1264	1327	1222	755	695	1019	1077	1449	1392	1133	1293	1766	1489	1263	1441	1464	1666	1408	1299	1434	1445	1251	1152	1221	1050	1148	1113	656	654	938	906	1660	1337	970	1169	1222	1500	1251	1397	1384	1354	1132	1289	1153	1399	1117	1113	1216	1452	917	1107	740	742	882	891	963	1521	888	915	1277	1372	964	1244	1036	1118	896	1063	1051	917	1028	1119	889	1099	799	1110	555	598	694	1056	673	983	686	1343	497	776	588	1420	676	839	610	1333	616	779	564	1146	598	696	608	1055	530	607	773	1011
01/04/2022 4:00:00 AM	8	1222	750	617	691	901	657	782	630	1062	527	930	736	973	761	822	701	874	804	1219	779	636	562	1071	661	1026	1566	529	1012	1536	1742	867	1398	1406	1209	1243	1254	1250	1052	1010	1316	1253	1153	1312	1041	767	824	1094	901	1529	1439	1029	1229	1447	1472	1316	1298	1476	1239	1246	1176	1452	1057	1267	1006	1397	1201	1251	1116	727	659	1054	906	1551	1440	1008	1022	1798	1717	1638	1173	1601	1446	1410	1218	1542	1210	1195	1106	1188	1133	1256	1109	743	669	1203	842	1663	1474	1068	1285	1555	1650	1265	1254	1848	1375	1531	1369	1668	1452	1351	1162	1324	1325	1460	1152	695	524	996	791	1526	1539	1091	1246	1958	1960	1278	1394	1597	1582	1356	1172	1573	1497	1538	1270	1281	1408	1356	1309	694	835	1039	1095	1632	1712	1043	1197	1725	1653	1423	1267	1633	1567	1198	1252	1546	1381	1381	1253	1461	1585	1471	1364	724	669	1174	1039	1521	1531	995	1307	1784	1721	1357	1186	1706	1841	1444	1412	1731	1486	1616	1162	1568	1282	1391	1281	791	750	1081	1130	1506	1472	1161	1336	1838	1564	1333	1526	1508	1726	1457	1322	1490	1507	1291	1194	1277	1084	1179	1162	720	702	1009	966	1686	1374	1004	1191	1294	1615	1336	1501	1413	1383	1172	1311	1181	1478	1149	1173	1282	1526	967	1173	783	771	948	965	987	1539	904	931	1345	1380	1012	1279	1072	1162	917	1103	1079	914	1051	1107	923	1140	807	1151	606	624	742	1125	681	1023	701	1382	507	794	616	1448	678	858	634	1358	591	757	563	1108	638	715	642	1072	562	664	834	1069
01/04/2022 6:00:00 AM	10	1342	797	646	744	967	707	845	679	1128	581	965	786	1043	829	918	755	944	868	1335	821	693	606	1155	693	1059	1669	561	1081	1615	1873	938	1530	1560	1298	1313	1318	1347	1124	1074	1396	1306	1221	1395	1110	835	868	1218	965	1672	1581	1118	1325	1527	1591	1420	1381	1586	1367	1311	1269	1523	1131	1393	1072	1511	1287	1334	1190	801	705	1194	994	1673	1545	1083	1085	1937	1850	1751	1264	1677	1523	1473	1260	1694	1316	1256	1186	1253	1234	1322	1173	815	716	1270	934	1757	1596	1170	1364	1660	1761	1342	1348	1955	1481	1640	1448	1751	1560	1485	1215	1433	1424	1570	1242	752	558	1079	851	1630	1625	1158	1367	2078	2119	1396	1503	1716	1658	1439	1234	1697	1607	1609	1345	1361	1482	1424	1398	720	880	1149	1209	1723	1822	1127	1269	1928	1830	1587	1407	1697	1655	1270	1350	1641	1509	1473	1341	1575	1714	1615	1457	796	708	1311	1140	1606	1598	1060	1380	1926	1791	1442	1296	1826	1962	1509	1496	1849	1567	1724	1257	1648	1372	1497	1383	856	801	1174	1205	1572	1512	1227	1389	1957	1635	1409	1605	1554	1791	1477	1355	1582	1579	1384	1284	1319	1122	1245	1230	788	748	1112	1055	1759	1442	1040	1265	1340	1683	1453	1589	1452	1424	1192	1345	1264	1551	1191	1221	1354	1588	978	1163	843	844	1034	1036	1005	1582	918	947	1368	1477	1028	1338	1071	1203	983	1110	1056	917	1059	1130	957	1143	839	1170	641	663	791	1194	707	1034	724	1401	530	846	638	1523	718	872	673	1408	607	729	556	1152	642	732	636	1097	612	704	889	1153
01/04/2022 8:00:00 AM	12	1452	854	696	785	1023	749	875	740	1238	629	1058	843	1126	862	967	814	1030	935	1442	874	736	646	1239	754	1111	1809	623	1197	1742	2079	988	1677	1637	1385	1446	1419	1479	1214	1150	1472	1409	1318	1495	1169	895	929	1317	1057	1786	1659	1193	1423	1650	1732	1548	1427	1682	1434	1434	1365	1673	1239	1474	1132	1612	1359	1449	1278	866	753	1249	1075	1803	1630	1175	1185	2045	1991	1890	1365	1855	1670	1631	1382	1821	1372	1379	1274	1354	1333	1385	1254	882	772	1349	988	1905	1692	1266	1463	1765	1896	1460	1453	2072	1562	1761	1579	1895	1704	1585	1317	1539	1529	1657	1298	823	613	1176	898	1751	1753	1228	1480	2230	2271	1523	1613	1840	1783	1545	1328	1795	1743	1763	1462	1472	1590	1505	1474	761	942	1217	1314	1813	1995	1216	1366	2078	1949	1677	1525	1820	1777	1329	1430	1740	1604	1595	1437	1672	1801	1733	1544	842	749	1408	1231	1740	1719	1131	1464	2050	1995	1573	1436	1914	2097	1636	1600	2002	1673	1859	1298	1751	1478	1621	1474	931	885	1268	1305	1651	1592	1307	1479	2101	1721	1535	1727	1566	1858	1535	1403	1701	1704	1437	1375	1381	1186	1291	1274	854	811	1175	1138	1841	1512	1067	1327	1425	1814	1539	1662	1502	1462	1236	1360	1381	1672	1274	1310	1397	1693	1025	1244	896	897	1110	1133	1023	1632	923	996	1419	1537	1055	1379	1111	1210	994	1112	1047	881	1072	1115	976	1178	853	1195	687	731	857	1306	708	1050	734	1429	563	857	683	1615	728	907	674	1416	616	722	576	1121	662	765	641	1142	645	758	937	1252
01/04/2022 10:00:00 AM	14	1505	928	741	830	1091	799	954	783	1297	676	1121	890	1204	914	1019	861	1082	983	1497	918	774	691	1307	813	1227	1933	656	1253	1845	2198	1064	1737	1770	1456	1564	1493	1540	1290	1211	1569	1496	1377	1608	1273	923	980	1385	1169	1938	1751	1272	1494	1741	1853	1632	1542	1807	1547	1522	1459	1780	1303	1565	1179	1731	1440	1546	1322	927	795	1304	1111	1943	1743	1244	1264	2225	2121	2000	1440	1948	1752	1719	1494	1970	1452	1458	1357	1423	1402	1488	1350	945	844	1457	1030	1999	1805	1348	1590	1876	2050	1561	1550	2242	1673	1900	1678	2028	1824	1679	1402	1619	1623	1766	1370	873	620	1278	931	1840	1852	1283	1548	2410	2421	1606	1730	1986	1892	1669	1435	1953	1831	1835	1517	1617	1672	1600	1582	808	997	1295	1371	1983	2113	1281	1449	2231	2104	1835	1613	1924	1911	1429	1558	1833	1726	1709	1532	1769	1913	1816	1625	898	831	1453	1287	1835	1828	1243	1558	2202	2124	1690	1553	2062	2229	1751	1728	2089	1793	1975	1426	1872	1525	1686	1522	996	951	1372	1408	1746	1655	1396	1563	2211	1853	1580	1823	1654	1893	1568	1441	1802	1810	1567	1485	1428	1226	1376	1325	878	874	1254	1237	1973	1616	1151	1407	1506	1933	1591	1783	1520	1505	1246	1402	1471	1747	1317	1372	1460	1759	1068	1271	964	939	1191	1191	1051	1655	947	1008	1468	1582	1104	1443	1114	1245	986	1120	1022	879	1040	1080	1013	1206	871	1211	725	797	888	1379	727	1093	744	1475	580	894	694	1661	724	914	694	1442	587	722	557	1115	664	773	661	1172	686	797	1007	1332
01/04/2022 12:00:00 PM	16	1614	967	794	891	1172	825	1020	821	1422	694	1179	942	1277	995	1078	908	1163	1049	1617	965	820	733	1376	839	1320	2036	689	1338	1963	2330	1129	1883	1926	1546	1688	1602	1648	1389	1301	1728	1588	1471	1721	1359	961	1041	1427	1166	2077	1887	1347	1607	1883	1977	1728	1616	1942	1655	1622	1584	1911	1399	1654	1247	1862	1532	1606	1400	959	849	1360	1195	2091	1862	1284	1342	2375	2306	2133	1558	2057	1874	1809	1585	2067	1583	1553	1488	1486	1457	1555	1408	1006	859	1550	1103	2185	1892	1471	1734	2004	2153	1658	1653	2409	1822	1976	1829	2179	1981	1810	1490	1730	1705	1917	1517	926	662	1334	1011	2009	2003	1417	1655	2601	2578	1711	1862	2164	2039	1785	1548	2066	1995	1980	1627	1728	1803	1696	1733	885	1050	1398	1457	2122	2275	1378	1591	2440	2257	1928	1781	2098	2109	1575	1678	1979	1833	1857	1617	1888	2033	1920	1750	953	898	1544	1371	2038	1998	1346	1692	2355	2256	1804	1655	2226	2383	1909	1872	2280	1954	2118	1536	1956	1646	1760	1642	1040	1020	1437	1483	1849	1797	1493	1688	2368	1938	1727	1965	1720	1966	1667	1496	1902	1900	1660	1573	1516	1279	1432	1413	918	923	1343	1296	2076	1725	1173	1501	1613	2049	1681	1944	1581	1546	1287	1475	1550	1854	1404	1452	1521	1883	1107	1346	1042	989	1229	1261	1059	1693	973	1031	1529	1643	1156	1464	1149	1247	1023	1131	1003	857	984	1061	1040	1234	908	1242	802	856	973	1459	748	1102	769	1516	615	903	717	1753	750	929	706	1454	580	738	548	1107	709	798	686	1229	718	851	1044	1389
01/04/2022 2:00:00 PM	18	1744	1032	874	960	1270	875	1049	857	1528	768	1284	1010	1382	1065	1205	975	1251	1153	1703	1066	887	781	1507	881	1391	2181	736	1412	2070	2539	1179	1972	2035	1679	1780	1699	1766	1457	1370	1862	1728	1582	1842	1427	1014	1081	1546	1225	2187	2019	1426	1723	2030	2081	1873	1773	2049	1769	1764	1675	2029	1518	1761	1383	1972	1633	1731	1477	1018	925	1423	1265	2198	1995	1373	1450	2550	2488	2354	1655	2209	2037	1912	1696	2200	1670	1690	1555	1587	1535	1669	1515	1072	894	1665	1155	2319	2038	1545	1786	2149	2292	1789	1744	2544	1900	2154	1952	2287	2070	1929	1590	1835	1788	2011	1605	964	704	1455	1100	2109	2130	1515	1754	2794	2773	1801	1962	2289	2181	1938	1645	2190	2093	2138	1767	1832	1897	1811	1836	946	1128	1485	1580	2332	2412	1542	1772	2607	2390	2099	1897	2327	2265	1662	1858	2095	2000	1982	1768	1971	2155	2012	1834	1039	944	1677	1440	2164	2181	1423	1745	2540	2433	1940	1750	2417	2600	2112	2009	2437	2052	2268	1599	2103	1713	1913	1742	1087	1074	1525	1584	1965	1884	1555	1791	2476	2060	1823	2063	1798	2067	1717	1601	2067	2045	1784	1663	1613	1361	1501	1497	966	959	1418	1358	2213	1842	1262	1560	1693	2183	1790	2040	1678	1583	1319	1529	1624	1975	1483	1547	1603	1941	1169	1460	1144	1026	1309	1343	1082	1753	997	1029	1616	1702	1217	1527	1152	1247	995	1133	966	847	998	1012	1082	1275	933	1264	849	901	1067	1573	759	1127	795	1540	585	955	712	1835	719	912	686	1448	548	703	520	1051	707	810	700	1232	761	890	1137	1492
