Label: HCT116 B18 Nuclight Red ADC Test 2
Metric: Red Object Count (1/Image)
Cell Type: HCT116 B18 Nuclight Red
Passage: 1
Notes: 
Analysis Job: HCT116 B18 Nuclight Red

Date Time	Elapsed	B1, Image 1	B1, Image 2	B1, Image 3	B1, Image 4	C1, Image 1	C1, Image 2	C1, Image 3	C1, Image 4	D1, Image 1	D1, Image 2	D1, Image 3	D1, Image 4	E1, Image 1	E1, Image 2	E1, Image 3	E1, Image 4	F1, Image 1	F1, Image 2	F1, Image 3	F1, Image 4	G1, Image 1	G1, Image 2	G1, Image 3	G1, Image 4	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4	B12, Image 1	B12, Image 2	B12, Image 3	B12, Image 4	C12, Image 1	C12, Image 2	C12, Image 3	C12, Image 4	D12, Image 1	D12, Image 2	D12, Image 3	D12, Image 4	E12, Image 1	E12, Image 2	E12, Image 3	E12, Image 4	F12, Image 1	F12, Image 2	F12, Image 3	F12, Image 4	G12, Image 1	G12, Image 2	G12, Image 3	G12, Image 4
07/04/2022 6:00:00 PM	0	626	424	530	435	508	574	734	708	787	717	746	821	696	867	755	809	679	950	756	1062	578	787	695	742	657	573	403	549	911	718	984	894	922	888	959	1350	795	912	894	1254	815	1064	780	1189	762	1252	858	1242	594	718	492	622	727	603	643	673	757	485	933	571	634	539	830	686	980	848	1202	891	590	779	955	1090	790	689	713	628	574	759	695	801	881	636	1059	784	692	653	1012	913	876	945	831	831	659	996	1166	1152	755	454	625	398	514	616	610	744	683	668	784	903	626	828	971	900	729	1005	1076	1174	580	835	993	1048	915	777	604	894	758	531	872	835	842	687	1105	819	638	686	965	921	709	1001	745	1093	744	1133	998	925	664	849	481	727	860	598	785	613	910	570	792	448	848	573	1037	750	861	882	561	853	460	777	1058	1201	568	747	372	548	909	820	903	508	854	683	734	544	881	898	1031	865	908	921	890	1020	512	706	930	1016	656	708	828	534	440	661	621	728	818	758	1065	998	704	762	987	1007	808	900	805	811	471	731	857	1062	695	680	676	742	774	744	615	766	744	717	1061	872	538	779	854	893	885	1084	834	1131	690	977	823	1061	750	883	676	814	515	674	669	889	769	1129	1103	884	885	681	1016	984	998	1080	702	1232	800	1106	953	1355	938	901	660	899	492	910	306	837	728	1054	655	809	689	755	752	1030	783	1107	625	1067	570	1108	756	1451
07/04/2022 8:00:00 PM	2	636	438	571	458	507	597	748	712	837	748	749	826	747	895	799	847	651	1007	772	1103	574	851	765	817	683	593	418	587	968	756	1037	948	973	770	974	1186	829	968	918	1317	852	1099	803	1236	789	1334	913	1291	635	744	511	652	762	616	674	702	806	502	959	608	662	562	891	712	1018	905	1261	944	618	844	994	1164	811	710	759	624	606	788	712	848	911	653	1126	825	696	693	1035	954	917	1009	855	871	710	1016	1225	1210	772	481	637	417	539	639	640	764	745	709	805	944	660	879	974	946	767	1068	1110	1208	592	891	1064	1108	950	793	643	912	746	543	863	843	904	713	1129	847	645	703	1023	972	723	1031	815	1099	769	1195	1005	902	681	883	486	763	851	595	749	611	980	590	811	470	900	603	1068	778	907	933	606	876	474	809	1086	1272	600	797	389	581	896	811	900	506	879	752	755	545	899	919	1048	905	940	974	914	1071	519	695	982	1060	689	721	878	569	456	657	614	747	863	805	1088	1042	741	795	1003	1051	854	931	860	833	483	758	888	1079	759	724	734	769	764	732	610	790	764	739	1067	893	562	824	876	921	927	1119	894	1161	724	993	844	1125	792	911	705	859	528	673	653	888	772	1175	1170	950	954	704	1073	1028	1063	1108	732	1249	821	1119	991	1413	987	949	686	959	490	944	318	844	756	1123	678	851	711	776	794	1097	807	1140	664	1088	582	1110	779	1462
07/04/2022 10:00:00 PM	4	678	444	599	483	557	623	798	751	860	781	814	879	772	962	846	906	679	1085	824	1209	651	898	790	873	728	610	447	626	1000	797	1116	986	1047	825	1029	1236	869	1042	954	1386	913	1165	864	1294	853	1416	978	1347	666	793	530	682	812	665	706	735	853	536	1033	650	704	605	965	771	1062	986	1331	1032	659	866	1090	1250	865	751	822	673	664	837	754	895	956	695	1198	873	742	733	1087	999	985	1061	930	938	741	1109	1307	1267	816	499	681	451	545	649	645	795	775	756	835	974	711	971	1029	1021	817	1172	1201	1271	610	923	1135	1180	997	829	680	946	793	552	897	851	923	745	1177	889	712	760	1090	1056	772	1094	858	1162	819	1241	1104	937	708	958	531	825	849	585	757	607	1043	624	825	501	961	643	1130	834	969	992	628	948	495	855	1139	1319	647	838	401	598	906	831	908	509	928	813	786	583	954	963	1106	958	979	1022	966	1112	562	750	1069	1106	709	764	947	586	455	669	618	753	892	852	1144	1098	757	833	1090	1112	916	1013	891	908	514	791	905	1138	773	767	750	826	776	735	604	805	801	768	1135	951	601	860	926	992	960	1196	923	1211	736	1068	885	1157	836	963	736	918	548	686	673	905	825	1220	1248	968	995	749	1120	1102	1114	1143	766	1310	865	1177	1043	1465	1073	990	741	1033	498	942	332	840	817	1202	730	909	769	815	842	1151	859	1218	676	1148	637	1187	806	1552
08/04/2022 12:00:00 AM	6	737	482	600	519	601	676	843	781	908	832	855	930	828	1011	918	951	773	1155	877	1296	676	969	881	933	729	646	454	683	1046	887	1192	1052	1115	903	1085	1335	920	1126	1051	1496	969	1208	933	1372	902	1499	1041	1414	705	832	563	728	863	705	754	768	938	564	1101	693	757	648	1023	809	1111	1047	1442	1132	682	925	1157	1340	904	784	828	729	686	886	825	965	1058	752	1282	914	783	803	1136	1102	1055	1135	986	1033	796	1144	1360	1323	860	540	703	481	581	697	673	824	805	801	857	1018	740	1044	1113	1071	856	1267	1272	1396	662	1014	1222	1270	1024	884	702	1016	813	569	937	901	951	792	1233	910	758	820	1177	1113	817	1158	886	1225	841	1288	1152	996	747	984	548	861	872	603	785	628	1087	625	870	515	1030	684	1262	907	970	1050	657	1003	535	860	1180	1364	670	893	431	637	909	829	934	528	939	836	835	594	1028	1014	1176	1031	1051	1074	1028	1192	597	771	1110	1208	755	827	975	616	466	666	645	795	919	866	1150	1128	820	881	1154	1220	917	1068	987	986	537	836	987	1205	819	812	791	854	819	767	632	825	800	783	1194	965	648	917	966	1058	1023	1301	960	1294	762	1122	928	1237	879	1010	790	957	549	683	676	919	896	1317	1299	1036	1069	800	1227	1192	1171	1187	800	1381	931	1263	1099	1558	1162	1064	766	1113	517	982	338	875	867	1294	802	967	822	906	901	1226	901	1283	723	1210	691	1265	865	1660
08/04/2022 2:00:00 AM	8	786	520	653	541	637	689	852	847	989	914	937	999	841	1110	972	1025	784	1270	933	1382	758	1024	909	984	778	668	501	713	1065	959	1239	1111	1123	937	1175	1400	1006	1234	1088	1610	1042	1269	996	1470	983	1614	1134	1534	764	883	614	761	878	722	807	838	964	600	1107	736	792	677	1079	882	1189	1116	1547	1173	771	999	1259	1432	980	842	889	768	733	964	847	979	1121	763	1283	958	841	862	1230	1140	1112	1209	1043	1087	863	1230	1447	1393	904	560	765	482	593	732	683	835	848	849	898	1071	806	1114	1195	1122	902	1333	1341	1502	714	1061	1318	1326	1093	936	751	1048	846	585	971	939	1027	823	1294	974	802	852	1266	1207	917	1265	947	1297	903	1352	1261	1077	800	1040	572	911	920	636	809	638	1110	665	890	543	1093	722	1322	952	1086	1129	687	1087	552	937	1244	1441	703	945	448	665	965	887	986	538	995	865	852	634	1088	1088	1270	1099	1113	1146	1095	1236	649	848	1170	1286	815	866	1042	635	487	701	661	813	939	893	1188	1174	866	924	1220	1262	1003	1161	1021	1047	563	862	1064	1243	857	835	830	883	850	788	664	849	830	849	1228	993	685	977	1017	1144	1076	1363	1011	1331	779	1203	959	1288	954	1063	820	1020	560	722	714	961	945	1391	1411	1117	1127	848	1309	1257	1237	1287	847	1493	981	1321	1167	1657	1225	1136	832	1182	539	978	354	907	944	1368	830	1036	870	941	960	1300	961	1385	814	1286	731	1338	939	1739
08/04/2022 4:00:00 AM	10	823	555	683	584	684	749	963	885	1034	940	975	1048	931	1182	1052	1060	857	1364	991	1479	772	1100	992	1087	821	721	515	764	1157	988	1396	1174	1253	983	1267	1448	1043	1253	1154	1712	1119	1415	1056	1612	1031	1720	1198	1635	815	945	655	809	950	753	838	893	1022	635	1190	803	855	726	1161	934	1288	1198	1647	1285	823	1038	1309	1539	1035	861	938	818	768	990	861	1052	1190	837	1463	1024	881	890	1294	1248	1190	1253	1079	1172	879	1301	1515	1507	980	614	808	528	624	757	720	904	877	875	936	1139	853	1172	1248	1207	980	1386	1390	1566	720	1125	1371	1407	1168	1017	798	1140	891	599	997	981	1070	866	1358	1032	844	912	1334	1292	931	1352	1011	1352	931	1443	1312	1117	832	1113	606	964	955	663	848	681	1159	689	935	545	1154	751	1373	993	1168	1202	752	1162	591	948	1318	1491	753	996	490	696	995	944	996	564	1047	876	892	635	1117	1149	1328	1156	1198	1217	1141	1319	649	853	1226	1335	802	904	1078	686	516	720	683	853	950	902	1207	1199	934	1017	1271	1360	1069	1228	1082	1111	581	902	1063	1302	885	869	868	942	897	778	702	901	850	848	1247	1026	746	1045	1127	1206	1166	1424	1088	1434	803	1201	1000	1342	1007	1142	854	1082	592	761	706	971	1017	1473	1496	1185	1201	903	1393	1345	1296	1379	913	1567	1086	1348	1255	1747	1338	1211	867	1282	573	1034	384	919	988	1460	863	1117	904	1008	1043	1387	1022	1442	849	1322	771	1414	989	1868
08/04/2022 6:00:00 AM	12	859	610	717	604	730	788	994	947	1128	1023	1040	1133	977	1295	1090	1152	904	1471	1072	1588	868	1169	1073	1118	928	768	550	795	1221	1060	1501	1295	1286	1082	1378	1572	1158	1373	1260	1830	1203	1514	1117	1737	1114	1832	1265	1817	879	1003	679	861	1027	807	868	945	1140	697	1255	816	894	774	1198	1030	1359	1285	1791	1360	883	1101	1431	1639	1095	935	1030	867	807	1047	976	1109	1251	895	1441	1102	918	948	1408	1274	1251	1392	1173	1219	960	1405	1604	1607	1023	638	861	576	669	782	741	926	925	902	1009	1157	909	1270	1362	1287	1018	1500	1526	1677	798	1202	1497	1492	1256	1093	825	1244	952	612	1023	1001	1117	897	1430	1083	901	959	1442	1382	1035	1460	1096	1449	997	1575	1440	1270	857	1181	639	1025	964	704	862	670	1193	722	981	592	1219	812	1495	1061	1225	1293	787	1248	606	1033	1362	1574	806	1053	488	748	1040	968	1085	609	1101	928	907	662	1197	1224	1428	1236	1272	1287	1246	1433	690	920	1351	1439	865	900	1104	714	522	756	732	902	991	910	1244	1220	1010	1101	1338	1440	1158	1285	1180	1155	596	914	1106	1346	925	889	898	988	877	817	720	939	891	850	1272	1030	790	1104	1199	1293	1224	1522	1180	1506	828	1261	1036	1391	1062	1229	931	1153	595	800	762	1022	1095	1551	1625	1242	1323	971	1487	1472	1387	1475	1011	1676	1119	1431	1335	1875	1432	1317	936	1393	571	1108	385	938	1063	1578	939	1238	978	1093	1120	1483	1098	1534	901	1430	827	1484	1055	2006
08/04/2022 8:00:00 AM	14	933	632	753	653	802	857	1099	1019	1164	1112	1101	1212	1057	1322	1166	1238	1015	1504	1128	1689	961	1261	1136	1229	965	808	598	871	1254	1102	1509	1371	1441	1118	1446	1673	1206	1448	1355	1970	1277	1621	1182	1854	1172	1997	1337	1905	934	1061	738	938	1077	867	930	1001	1203	722	1399	866	988	818	1302	1089	1469	1403	1903	1508	904	1198	1530	1733	1173	1002	1085	920	882	1132	1033	1149	1351	948	1592	1165	1006	1011	1491	1454	1332	1519	1277	1367	1004	1472	1707	1674	1095	682	920	612	697	782	749	950	971	940	1050	1227	934	1339	1447	1369	1118	1592	1607	1779	799	1261	1532	1613	1325	1157	900	1322	978	647	1073	1034	1179	967	1549	1149	968	1023	1531	1451	1072	1552	1135	1538	1049	1664	1453	1281	898	1256	683	1095	1006	711	917	704	1227	750	1013	612	1309	870	1632	1179	1321	1365	856	1360	631	1063	1439	1660	854	1129	531	789	1090	982	1087	646	1124	973	940	686	1284	1337	1523	1317	1335	1359	1277	1486	733	938	1371	1481	915	970	1192	777	521	770	735	940	1014	927	1266	1267	1049	1151	1415	1530	1214	1402	1240	1258	609	947	1134	1429	949	949	944	1040	920	839	769	944	914	865	1279	1064	845	1200	1307	1387	1309	1642	1249	1601	858	1280	1071	1436	1134	1320	1004	1249	625	821	757	1052	1160	1686	1746	1303	1417	1030	1559	1548	1470	1547	1032	1768	1215	1561	1413	2026	1518	1392	1015	1519	587	1119	402	974	1118	1683	1021	1329	1030	1162	1209	1604	1161	1610	946	1520	861	1584	1149	2137
08/04/2022 10:00:00 AM	16	958	661	820	674	797	895	1115	1099	1261	1171	1167	1333	1128	1419	1238	1314	1016	1642	1210	1825	970	1340	1192	1279	1014	878	645	957	1410	1189	1698	1442	1434	1196	1514	1828	1332	1584	1418	2132	1370	1732	1244	1980	1277	2130	1401	2066	982	1119	779	1002	1137	928	995	1069	1284	753	1470	936	1040	870	1388	1175	1566	1446	2029	1564	1005	1303	1628	1847	1228	1076	1175	1001	877	1178	1095	1231	1400	989	1667	1237	1045	1047	1587	1481	1411	1594	1360	1428	1096	1606	1841	1857	1162	709	1007	644	726	845	780	976	1032	1002	1095	1279	997	1443	1552	1461	1163	1695	1741	1922	885	1339	1678	1724	1449	1251	975	1423	988	637	1089	1082	1256	1024	1638	1225	1011	1094	1621	1541	1160	1632	1206	1643	1190	1789	1642	1430	956	1303	742	1147	1034	752	908	719	1265	772	1054	624	1384	922	1719	1244	1393	1436	899	1433	665	1167	1503	1740	905	1228	560	835	1090	1015	1115	653	1150	993	981	713	1364	1427	1647	1419	1445	1452	1387	1601	761	1006	1456	1584	931	1004	1225	802	553	795	776	939	1020	930	1268	1286	1138	1227	1511	1640	1301	1481	1280	1325	640	965	1183	1472	1000	997	987	1091	981	845	779	952	925	889	1267	1068	882	1282	1347	1438	1385	1722	1325	1718	865	1309	1113	1483	1224	1399	1102	1339	666	842	828	1106	1247	1870	1840	1397	1504	1100	1699	1674	1558	1610	1086	1897	1312	1660	1512	2121	1624	1448	1105	1607	620	1130	442	998	1207	1786	1054	1412	1108	1250	1228	1737	1222	1708	1013	1633	907	1690	1199	2291
08/04/2022 12:00:00 PM	18	1026	719	858	748	838	957	1205	1143	1364	1293	1224	1402	1171	1504	1336	1412	1112	1762	1288	1885	1065	1428	1297	1371	1107	939	680	1025	1494	1259	1648	1528	1553	1313	1593	1972	1423	1742	1520	2281	1484	1846	1339	2093	1361	2287	1535	2264	1064	1209	833	1075	1191	968	1054	1107	1334	799	1609	1008	1122	939	1493	1240	1683	1547	2206	1705	1041	1344	1731	1985	1355	1154	1239	1091	932	1272	1140	1318	1475	1032	1792	1313	1140	1133	1735	1543	1524	1742	1423	1503	1163	1715	1986	1976	1228	763	1058	681	755	884	802	1007	1123	1061	1156	1337	1090	1544	1658	1602	1238	1795	1873	2021	970	1445	1803	1844	1567	1350	1003	1527	1045	668	1159	1140	1333	1117	1746	1319	1066	1185	1763	1675	1224	1735	1286	1743	1265	1911	1743	1524	1043	1431	811	1213	1045	786	953	763	1326	785	1083	660	1483	979	1861	1361	1498	1497	941	1526	704	1212	1557	1855	980	1298	578	929	1134	1049	1110	651	1174	1030	1043	729	1482	1537	1738	1507	1520	1535	1503	1702	818	1060	1532	1669	979	1062	1309	833	564	840	829	932	1047	974	1324	1333	1216	1309	1636	1765	1400	1559	1406	1376	642	1004	1216	1517	1051	1042	1032	1168	975	901	819	986	919	923	1309	1110	965	1376	1482	1535	1471	1817	1379	1836	914	1349	1133	1524	1311	1467	1174	1452	665	869	816	1109	1308	1971	1983	1468	1579	1175	1828	1778	1601	1734	1138	2030	1395	1769	1599	2274	1727	1559	1168	1732	653	1148	446	1021	1315	1939	1105	1513	1178	1313	1323	1882	1312	1849	1056	1730	984	1847	1301	2468
