Label: HCT116_NuclightRED_B18_ADCtest3_ADC_20220414
Metric: Red Object Count (1/Image)
Cell Type: HCT116 NuclightRED B18
Passage: 12
Notes: 
Analysis Job: HCT116_NuclightRED_B18_ADCtest3_ADC_20220414

Date Time	Elapsed	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4
14/04/2022 8:00:00 PM	0	1063	695	681	581	1032	766	983	792	988	680	808	680	788	453	728	538	745	430	661	470	580	471	859	578	793	819	769	866	1015	794	1202	1081	1258	865	1217	933	1049	598	1047	604	652	465	838	538	577	533	738	635	850	917	571	710	1031	869	1130	1263	1179	1042	1188	954	926	761	1077	769	655	571	922	744	473	625	768	648	919	1040	762	785	1015	1096	1015	971	1275	1154	1175	996	1025	888	1257	1156	929	890	1167	1024	650	644	748	796	769	1032	566	854	1247	1243	802	801	1187	1304	1056	1142	1088	992	1329	1170	888	1000	1014	1024	612	768	803	942	881	857	721	907	1298	1071	920	1004	1259	1273	961	945	916	894	1064	1298	830	875	1042	1079	578	603	876	825	830	813	757	654	834	1185	768	938	987	1098	1014	1012	659	900	853	1127	630	842	803	1049	540	627	637	679	726	871	646	802	779	973	999	1170	826	1185	910	1147	763	953	1007	1245	619	836	800	1032	628	698	633	823	795	1006	769	876	785	976	973	1286	809	1222	817	1414	661	1001	738	1122	699	990	738	1222	653	612	719	748	854	1057	652	1005	685	1209	634	961	661	1089	544	913	626	1038	565	982	535	984	555	997	498	723	620	1027
14/04/2022 10:00:00 PM	2	1109	741	705	617	1043	786	1019	828	1065	721	811	705	821	456	777	571	766	455	696	495	593	497	907	617	824	866	810	899	1067	836	1256	1133	1302	915	1278	996	1099	618	1085	610	688	481	889	578	601	546	768	652	881	950	618	721	1063	880	1206	1319	1220	1098	1236	1014	982	805	1135	813	682	596	971	774	494	652	806	699	949	1075	858	805	1068	1154	1071	1033	1339	1172	1204	1025	1059	917	1317	1211	978	931	1210	1060	681	669	759	847	800	1093	621	896	1313	1287	873	849	1225	1374	1127	1177	1094	1047	1379	1200	913	1046	1053	1090	638	795	833	977	925	891	767	964	1334	1113	957	1018	1312	1348	986	1005	949	942	1134	1331	858	925	1079	1104	604	627	895	857	877	858	794	692	910	1246	783	978	1047	1133	1079	1059	678	929	891	1175	678	877	835	1094	589	648	669	714	748	916	671	844	797	1033	1089	1210	863	1232	966	1216	817	981	1098	1262	622	873	839	1070	651	733	656	842	795	1039	835	889	809	998	1044	1327	849	1274	832	1439	699	1048	746	1147	717	1020	769	1268	696	625	751	796	862	1087	709	1047	724	1254	654	984	681	1101	567	915	669	1094	600	1036	552	1022	589	1059	514	743	641	1064
15/04/2022 12:00:00 AM	4	1141	779	734	650	1102	827	1083	861	1098	736	892	733	870	499	808	609	805	466	731	510	609	508	956	640	864	880	860	932	1085	887	1282	1153	1386	943	1299	1027	1146	662	1164	643	724	516	936	601	649	572	805	677	940	983	654	760	1130	923	1248	1409	1282	1137	1304	1031	1036	846	1179	858	731	605	1020	814	519	672	851	736	1009	1099	879	866	1119	1169	1128	1078	1396	1231	1237	1071	1110	981	1412	1242	1008	986	1268	1086	696	699	810	877	834	1151	649	936	1369	1354	923	910	1279	1433	1162	1227	1154	1073	1454	1275	975	1113	1092	1145	681	802	846	995	963	929	793	1003	1389	1165	1005	1077	1392	1390	1038	1072	1008	976	1188	1413	905	955	1098	1148	618	641	929	860	918	898	849	713	930	1305	827	1018	1071	1172	1095	1091	717	959	935	1238	720	904	858	1137	614	660	713	749	810	976	690	870	857	1099	1140	1304	877	1267	988	1265	851	1050	1143	1343	661	918	876	1122	692	764	697	896	828	1100	847	931	864	1049	1076	1410	856	1314	885	1458	757	1126	788	1219	755	1080	788	1336	723	669	757	817	904	1159	717	1091	757	1338	688	1050	713	1145	589	965	689	1152	623	1060	592	1059	602	1109	550	774	681	1092
15/04/2022 2:00:00 AM	6	1224	821	776	685	1137	877	1123	906	1143	784	916	784	935	534	849	636	848	496	769	548	642	540	992	672	891	926	915	999	1151	946	1335	1219	1459	1004	1343	1076	1210	681	1211	677	756	536	987	644	663	596	834	722	971	1031	699	817	1181	979	1336	1465	1336	1206	1351	1062	1085	904	1248	927	750	656	1080	842	540	704	891	769	1019	1181	907	893	1147	1238	1194	1127	1456	1305	1305	1132	1172	1031	1462	1316	1047	1037	1326	1118	727	720	865	916	884	1198	680	981	1440	1407	948	947	1328	1463	1185	1261	1214	1148	1504	1320	993	1152	1165	1199	713	883	867	1050	1021	984	833	1047	1461	1197	1064	1123	1419	1449	1088	1103	1069	1002	1234	1481	947	999	1131	1207	651	672	971	904	967	941	877	738	977	1375	864	1080	1134	1237	1133	1156	757	988	980	1283	738	953	913	1173	659	691	711	768	853	1025	737	926	884	1134	1184	1361	932	1299	1017	1287	895	1082	1155	1387	696	950	892	1178	740	782	739	943	886	1125	887	981	909	1091	1157	1465	879	1341	901	1525	790	1178	805	1265	777	1128	844	1385	750	714	816	885	965	1220	756	1132	801	1429	708	1081	742	1195	604	977	735	1201	658	1116	621	1104	621	1127	591	810	718	1160
15/04/2022 4:00:00 AM	8	1285	870	818	709	1219	923	1171	961	1191	831	984	821	989	561	921	663	890	508	796	599	678	561	1043	717	950	964	954	1052	1184	979	1419	1317	1492	1049	1428	1145	1274	716	1278	712	786	575	1041	684	715	649	901	749	1034	1077	737	855	1260	1014	1451	1540	1404	1283	1422	1133	1143	940	1315	962	798	694	1135	913	555	744	953	803	1099	1191	955	950	1226	1322	1237	1180	1514	1383	1381	1156	1244	1074	1567	1405	1109	1091	1389	1171	761	769	907	968	913	1246	713	1069	1515	1533	1012	1024	1389	1577	1241	1354	1273	1196	1555	1389	1042	1228	1216	1265	746	936	936	1102	1100	1036	881	1110	1507	1258	1116	1194	1491	1500	1107	1132	1113	1051	1297	1552	975	1026	1203	1260	671	712	1031	963	1021	990	930	763	1020	1480	922	1127	1186	1300	1207	1203	769	1039	1007	1359	755	1001	935	1235	699	739	758	813	904	1070	780	982	967	1203	1245	1502	953	1366	1084	1391	928	1163	1252	1510	728	975	998	1245	780	816	796	987	934	1234	961	1038	941	1157	1221	1550	912	1387	978	1658	833	1252	877	1348	839	1169	881	1435	798	730	848	921	1055	1278	830	1208	861	1501	771	1160	778	1247	629	1053	772	1267	688	1178	644	1154	661	1228	629	856	769	1246
15/04/2022 6:00:00 AM	10	1410	915	838	735	1313	972	1252	998	1290	881	1010	861	1022	599	958	681	991	535	845	629	701	578	1109	750	991	1017	1017	1098	1284	995	1514	1412	1615	1129	1509	1201	1338	751	1358	736	859	611	1125	721	752	692	950	807	1084	1139	794	903	1359	1097	1501	1614	1480	1343	1525	1217	1227	993	1423	1026	822	730	1195	970	592	780	985	839	1163	1270	1031	996	1321	1418	1316	1232	1646	1458	1444	1239	1319	1134	1687	1491	1190	1169	1495	1257	775	829	948	1025	986	1326	718	1096	1568	1579	1082	1075	1444	1622	1311	1417	1377	1291	1680	1470	1083	1271	1292	1336	805	993	980	1166	1143	1079	912	1165	1573	1332	1197	1265	1563	1579	1172	1164	1173	1127	1374	1659	1028	1068	1238	1300	731	750	1069	1043	1091	1035	979	822	1070	1540	981	1178	1263	1397	1256	1275	826	1083	1082	1411	788	1055	1002	1277	755	776	788	834	984	1150	817	1069	1033	1236	1361	1576	1002	1436	1116	1436	1009	1245	1340	1581	773	1026	1028	1281	829	875	833	1060	1005	1289	996	1091	1019	1269	1268	1636	997	1433	996	1707	880	1310	927	1421	881	1240	912	1514	846	791	934	982	1095	1355	844	1273	905	1594	835	1245	813	1271	664	1085	802	1335	716	1212	675	1218	688	1314	656	898	804	1315
15/04/2022 8:00:00 AM	12	1485	985	924	780	1388	1005	1297	1069	1329	918	1061	953	1081	630	1017	740	1031	592	923	669	752	633	1185	802	1069	1080	1071	1200	1319	1080	1581	1456	1704	1150	1615	1235	1423	816	1453	790	891	651	1184	743	794	739	1038	837	1170	1219	824	951	1442	1133	1597	1678	1584	1412	1613	1251	1285	1034	1519	1075	877	768	1270	1032	616	809	1048	907	1232	1350	1106	1065	1420	1523	1380	1306	1744	1561	1516	1313	1377	1169	1739	1550	1227	1225	1569	1311	838	875	990	1080	1023	1431	779	1156	1704	1662	1151	1120	1508	1702	1377	1481	1439	1374	1783	1536	1183	1365	1384	1433	814	1035	1042	1222	1190	1132	981	1228	1715	1456	1283	1339	1608	1671	1247	1225	1246	1207	1444	1767	1065	1104	1317	1406	761	827	1142	1074	1146	1109	1025	870	1137	1643	1041	1281	1317	1443	1354	1323	875	1139	1175	1457	816	1109	1041	1334	790	816	845	915	1011	1192	864	1119	1090	1317	1468	1690	1047	1493	1149	1486	1051	1301	1394	1660	789	1059	1068	1353	864	930	858	1118	1048	1358	1049	1169	1067	1338	1348	1763	1011	1488	1071	1741	921	1379	985	1504	936	1299	977	1610	903	852	981	1052	1159	1439	912	1313	956	1670	856	1327	838	1313	669	1135	872	1427	762	1299	696	1273	696	1378	681	960	856	1370
15/04/2022 10:00:00 AM	14	1571	1001	970	816	1457	1071	1399	1158	1423	981	1145	973	1149	668	1072	821	1074	610	975	705	796	661	1255	873	1123	1161	1151	1274	1415	1151	1643	1538	1789	1214	1662	1292	1538	864	1535	832	949	682	1228	795	840	773	1111	897	1236	1289	882	1043	1529	1190	1740	1766	1664	1468	1701	1326	1355	1094	1593	1153	931	825	1386	1102	649	882	1100	976	1294	1423	1188	1155	1492	1616	1465	1406	1852	1646	1596	1352	1474	1266	1863	1671	1305	1320	1679	1393	907	929	1066	1178	1081	1490	838	1262	1816	1742	1196	1183	1610	1755	1446	1539	1540	1447	1861	1640	1245	1488	1480	1528	886	1110	1119	1321	1288	1221	1046	1304	1813	1534	1367	1391	1688	1740	1311	1288	1328	1304	1566	1884	1128	1163	1401	1469	786	874	1237	1189	1215	1187	1084	945	1163	1749	1113	1365	1378	1525	1403	1378	936	1229	1218	1586	868	1171	1077	1419	849	880	934	981	1066	1287	899	1161	1147	1400	1517	1791	1120	1574	1218	1565	1115	1372	1513	1770	843	1105	1110	1426	915	989	914	1186	1123	1427	1117	1270	1147	1427	1434	1890	1070	1562	1122	1851	975	1469	1059	1597	983	1372	1020	1729	987	899	1028	1118	1251	1511	967	1401	1020	1780	923	1381	892	1393	720	1163	922	1516	800	1401	743	1365	756	1444	736	1017	912	1470
15/04/2022 12:00:00 PM	16	1659	1097	1003	858	1545	1132	1472	1201	1529	1024	1194	1031	1230	694	1164	822	1190	662	1057	729	863	710	1347	915	1209	1248	1229	1367	1485	1242	1794	1663	1921	1296	1778	1384	1631	894	1655	923	1004	692	1311	848	899	813	1169	959	1313	1372	955	1091	1669	1282	1838	1907	1827	1541	1782	1428	1487	1200	1718	1243	994	860	1469	1135	720	927	1174	1030	1415	1533	1239	1236	1587	1712	1548	1496	1951	1712	1726	1448	1579	1340	1958	1797	1407	1402	1769	1474	928	970	1128	1252	1151	1608	855	1311	1956	1882	1258	1271	1679	1854	1511	1634	1663	1550	2003	1743	1305	1560	1554	1605	954	1193	1171	1424	1386	1300	1118	1392	1927	1608	1474	1473	1797	1821	1376	1321	1419	1392	1639	2045	1208	1258	1486	1582	861	919	1320	1247	1304	1261	1153	1023	1282	1890	1208	1436	1442	1611	1466	1427	964	1288	1292	1711	938	1281	1144	1526	914	962	993	1029	1152	1371	1001	1251	1177	1470	1624	1912	1153	1628	1259	1626	1143	1449	1637	1883	923	1162	1179	1499	986	1064	984	1265	1160	1515	1167	1319	1223	1527	1513	2033	1126	1639	1165	1894	1037	1536	1134	1677	1046	1473	1091	1796	1038	931	1091	1169	1354	1613	1002	1530	1091	1912	985	1486	910	1419	750	1207	999	1614	838	1441	809	1456	807	1524	800	1068	944	1580
15/04/2022 2:00:00 PM	18	1816	1148	1019	905	1631	1195	1533	1287	1646	1102	1274	1111	1283	741	1223	882	1274	681	1107	787	887	775	1428	956	1317	1346	1297	1409	1645	1287	1853	1766	1983	1332	1881	1466	1771	976	1763	977	1073	757	1390	911	905	837	1208	1005	1419	1469	1014	1156	1759	1361	1945	2056	1889	1631	1867	1450	1546	1267	1819	1343	1053	931	1522	1220	749	978	1241	1099	1496	1613	1329	1282	1652	1822	1646	1551	2056	1838	1758	1529	1702	1413	2114	1899	1500	1462	1915	1589	1010	1045	1218	1326	1210	1740	909	1398	2025	2012	1302	1311	1773	1957	1596	1683	1799	1664	2096	1878	1366	1656	1719	1716	1027	1251	1276	1510	1493	1372	1190	1478	2040	1693	1527	1566	1892	1938	1465	1416	1443	1494	1743	2200	1302	1310	1576	1659	903	975	1379	1344	1366	1305	1227	1076	1363	1963	1287	1489	1511	1685	1573	1509	1042	1372	1368	1805	983	1348	1227	1650	947	991	1025	1113	1206	1432	1053	1318	1260	1550	1729	2036	1204	1682	1316	1680	1244	1535	1764	1986	984	1243	1256	1573	1039	1121	1056	1325	1230	1628	1255	1425	1322	1602	1629	2152	1179	1705	1209	2002	1086	1659	1193	1813	1114	1558	1161	1890	1087	1005	1139	1239	1401	1730	1074	1642	1156	2021	1051	1572	950	1487	786	1236	1087	1771	896	1544	836	1564	895	1637	835	1118	994	1679
