Label: HCT116_NuclightRED_B18_ADCtest3_Payloads_20220414
Metric: Red Object Count (1/Image)
Cell Type: HCT116 NuclightRED B18
Passage: 12
Notes: 
Analysis Job: HCT116_NuclightRED_B18_ADCtest3_Payloads_20220414

Date Time	Elapsed	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4
14/04/2022 8:00:00 PM	0	1070	1097	886	945	1478	788	1076	995	1182	548	1199	972	1228	809	1195	1022	1249	802	1291	1040	1029	843	1157	922	1269	1164	924	966	1336	858	1476	1188	1284	723	1391	1185	1069	887	1281	1092	1204	1033	1089	1140	1071	973	1110	1224	1438	1240	1223	1080	1528	935	1515	1233	1328	908	1504	1124	1403	1163	1415	1118	1242	1218	1255	1330	1118	1014	1110	1171	1233	1342	979	998	1420	905	1274	1011	1553	1077	1596	930	1336	1379	1338	1152	1225	1063	1211	1073	1070	839	1152	982	1452	1134	1052	1054	1396	1447	1085	1260	1572	1101	1715	1142	1427	1363	1346	1408	1196	1128	1221	1254	1159	912	1197	1163	1282	1317	894	1046	1389	1463	1177	1065	1551	1151	1391	1060	1323	1508	1157	1268	1273	1171	1206	1241	1135	860	1228	1026	1436	1134	898	890	1362	1323	1107	1160	1360	1065	1483	1189	1252	1463	1118	1408	1186	1132	1243	1236	1085	801	1272	1014	1173	1203	902	911	1316	981	1132	1263	1391	968	1466	1141	1389	1148	1311	1173	1069	984	1146	1356	1150	934	1311	1063	1329	1394	850	1056	1437	1371	1172	1181	1400	908	1389	1202	1219	1101	1231	1044	899	1086	1266	1172	1200	942	1254	1269	1203	1246	879	1080	907	1190	798	1460	1158	1062	1191	1505	989	1052	847	1301	870	1009	984	1184	839	748	967	1206
14/04/2022 10:00:00 PM	2	1074	1134	914	994	1502	846	1113	1030	1215	577	1249	1028	1293	846	1246	1067	1297	834	1349	1077	1085	888	1211	973	1297	1171	946	988	1389	909	1532	1248	1343	768	1451	1234	1134	925	1319	1118	1278	1057	1142	1202	1091	1051	1181	1285	1490	1285	1288	1100	1581	986	1546	1278	1396	953	1526	1157	1476	1228	1475	1182	1319	1270	1338	1364	1181	1074	1155	1241	1280	1361	1031	1017	1449	895	1342	1079	1606	1095	1648	961	1403	1384	1342	1202	1277	1078	1260	1091	1093	885	1200	1027	1511	1170	1080	1097	1421	1450	1100	1281	1593	1102	1744	1147	1484	1409	1383	1438	1232	1142	1253	1305	1201	971	1263	1182	1324	1352	915	1101	1448	1490	1231	1089	1573	1181	1392	1064	1380	1600	1218	1319	1330	1205	1248	1265	1191	906	1232	1080	1502	1171	931	928	1449	1353	1150	1212	1397	1112	1520	1191	1317	1539	1167	1479	1243	1158	1263	1312	1129	845	1304	1050	1221	1274	933	948	1355	990	1185	1347	1371	983	1433	1117	1448	1205	1365	1214	1123	1012	1207	1395	1204	973	1381	1081	1373	1458	897	1106	1482	1400	1200	1272	1379	892	1350	1167	1239	1124	1257	1069	947	1119	1345	1199	1254	1009	1301	1307	1252	1286	889	1112	935	1236	841	1507	1149	1071	1199	1495	1020	1109	878	1348	900	1055	1039	1206	864	769	1002	1240
15/04/2022 12:00:00 AM	4	1160	1152	969	1033	1619	861	1154	1103	1242	600	1316	1072	1353	910	1316	1131	1347	883	1425	1143	1120	914	1229	1022	1394	1241	986	1087	1478	950	1591	1327	1385	793	1484	1285	1194	985	1422	1186	1299	1127	1204	1228	1155	1084	1223	1327	1555	1354	1325	1151	1649	997	1623	1307	1446	984	1621	1198	1521	1287	1527	1250	1405	1317	1359	1412	1242	1120	1219	1281	1355	1453	1080	1085	1561	963	1404	1107	1708	1174	1731	1016	1498	1507	1431	1275	1357	1186	1344	1178	1183	912	1278	1090	1620	1233	1140	1167	1549	1553	1173	1362	1618	1136	1795	1180	1555	1450	1462	1566	1311	1198	1309	1346	1248	1002	1302	1244	1373	1423	966	1168	1571	1575	1289	1150	1623	1194	1445	1086	1462	1647	1311	1411	1425	1280	1319	1339	1230	902	1313	1123	1568	1222	969	983	1502	1426	1218	1270	1416	1099	1529	1217	1383	1613	1234	1521	1287	1249	1329	1327	1184	877	1370	1105	1267	1326	979	1002	1420	1071	1205	1452	1374	971	1437	1136	1570	1275	1402	1275	1169	1064	1280	1487	1275	1043	1439	1132	1453	1509	947	1170	1553	1503	1281	1315	1394	912	1376	1176	1335	1179	1332	1131	1017	1177	1395	1265	1319	1037	1341	1357	1326	1374	952	1186	984	1292	888	1606	1152	1096	1188	1475	1074	1143	928	1422	940	1129	1092	1261	921	804	1046	1295
15/04/2022 2:00:00 AM	6	1208	1213	1028	1123	1663	946	1200	1132	1315	627	1351	1127	1404	935	1384	1199	1431	972	1481	1174	1189	970	1349	1050	1446	1287	1042	1097	1520	1020	1660	1352	1461	816	1553	1362	1275	1025	1499	1243	1403	1197	1262	1305	1222	1154	1289	1403	1620	1451	1403	1190	1753	1096	1747	1378	1536	1046	1701	1268	1586	1354	1591	1314	1478	1398	1434	1483	1267	1178	1275	1364	1418	1529	1133	1129	1638	984	1484	1205	1821	1205	1784	1044	1545	1513	1492	1342	1439	1231	1371	1208	1222	990	1387	1150	1684	1289	1183	1230	1607	1619	1235	1447	1674	1189	1818	1201	1588	1536	1549	1609	1376	1236	1391	1432	1300	1076	1379	1299	1427	1491	990	1237	1570	1579	1316	1183	1633	1223	1479	1130	1564	1761	1347	1473	1461	1322	1355	1407	1292	938	1370	1160	1602	1303	1004	1016	1555	1467	1240	1305	1464	1143	1583	1286	1427	1683	1311	1634	1354	1253	1403	1384	1236	940	1430	1155	1321	1411	1018	1067	1482	1072	1260	1456	1437	1003	1432	1157	1629	1342	1485	1371	1212	1097	1311	1528	1326	1091	1491	1145	1515	1570	1017	1194	1635	1552	1325	1361	1407	923	1409	1181	1362	1226	1366	1177	1051	1222	1493	1311	1407	1098	1416	1438	1368	1415	955	1226	1025	1353	939	1678	1143	1102	1223	1524	1145	1207	946	1469	1008	1169	1117	1342	980	831	1114	1354
15/04/2022 4:00:00 AM	8	1271	1303	1064	1168	1729	977	1273	1173	1397	656	1429	1192	1482	977	1440	1275	1491	1001	1554	1252	1239	1039	1393	1102	1526	1377	1088	1167	1612	1041	1749	1449	1522	869	1667	1422	1348	1078	1577	1321	1454	1270	1320	1363	1307	1210	1368	1463	1718	1498	1502	1256	1833	1132	1827	1426	1597	1091	1730	1308	1677	1384	1680	1387	1573	1472	1512	1572	1313	1252	1326	1420	1498	1587	1185	1199	1708	1065	1527	1253	1894	1279	1843	1093	1636	1601	1571	1394	1512	1320	1464	1260	1298	1018	1449	1222	1757	1352	1263	1300	1716	1683	1310	1498	1742	1208	1876	1210	1667	1642	1640	1700	1450	1338	1482	1498	1344	1122	1443	1380	1509	1569	1057	1324	1633	1637	1346	1217	1705	1272	1528	1140	1590	1816	1390	1551	1523	1352	1379	1448	1373	1018	1433	1192	1685	1380	1066	1080	1599	1545	1285	1360	1501	1180	1653	1321	1516	1741	1343	1714	1411	1341	1411	1423	1321	974	1477	1221	1396	1470	1063	1098	1529	1105	1304	1539	1449	1015	1532	1177	1699	1417	1548	1424	1241	1131	1368	1584	1414	1132	1575	1216	1612	1638	1069	1240	1715	1569	1379	1430	1480	951	1496	1244	1460	1286	1448	1250	1120	1281	1541	1392	1473	1129	1513	1509	1454	1474	997	1268	1092	1410	982	1773	1208	1129	1248	1535	1189	1231	977	1545	1056	1240	1178	1389	1018	897	1154	1444
15/04/2022 6:00:00 AM	10	1375	1379	1150	1267	1876	1032	1357	1265	1486	698	1523	1297	1592	1056	1546	1320	1551	1070	1662	1326	1333	1095	1528	1159	1598	1469	1142	1208	1703	1097	1849	1485	1592	913	1755	1475	1441	1133	1660	1406	1490	1351	1423	1456	1361	1261	1424	1533	1820	1579	1575	1325	1915	1192	1947	1520	1740	1157	1845	1369	1766	1506	1804	1485	1657	1522	1602	1687	1410	1299	1416	1525	1567	1623	1246	1249	1773	1086	1615	1335	1976	1338	1988	1151	1719	1694	1682	1473	1588	1393	1529	1313	1359	1071	1499	1293	1860	1452	1349	1376	1790	1789	1371	1593	1793	1268	1946	1256	1767	1687	1739	1780	1527	1398	1570	1590	1453	1180	1512	1449	1569	1654	1130	1386	1692	1726	1413	1277	1763	1311	1577	1204	1708	1936	1493	1669	1540	1392	1434	1483	1444	1068	1535	1285	1766	1448	1145	1133	1662	1591	1338	1419	1547	1225	1719	1350	1571	1820	1408	1793	1447	1359	1455	1461	1369	1025	1578	1291	1463	1528	1117	1175	1580	1151	1349	1587	1521	1053	1568	1204	1818	1478	1627	1498	1291	1169	1400	1630	1484	1198	1641	1311	1703	1739	1114	1327	1781	1646	1425	1476	1517	985	1522	1306	1497	1351	1522	1315	1153	1330	1585	1429	1583	1199	1601	1570	1477	1572	1037	1337	1098	1464	1019	1820	1257	1201	1305	1637	1233	1284	1001	1583	1103	1293	1234	1443	1106	961	1202	1544
15/04/2022 8:00:00 AM	12	1455	1411	1222	1327	1954	1086	1413	1326	1576	723	1596	1338	1673	1113	1643	1426	1648	1127	1769	1422	1397	1170	1597	1221	1677	1530	1238	1285	1792	1169	1964	1607	1681	977	1832	1578	1491	1231	1760	1474	1605	1412	1467	1516	1424	1368	1525	1620	1933	1664	1695	1420	2026	1272	2067	1617	1756	1219	1929	1443	1849	1591	1887	1559	1717	1609	1678	1794	1474	1362	1503	1611	1692	1754	1335	1322	1884	1163	1727	1386	2080	1404	2062	1221	1818	1801	1785	1528	1686	1505	1641	1422	1436	1145	1573	1344	1938	1501	1436	1436	1900	1890	1452	1652	1863	1289	2017	1281	1875	1791	1851	1882	1620	1503	1645	1695	1551	1269	1596	1507	1688	1741	1183	1472	1755	1760	1428	1303	1835	1325	1621	1235	1777	2020	1581	1737	1577	1444	1470	1537	1501	1142	1645	1344	1887	1512	1217	1199	1761	1653	1382	1445	1611	1254	1766	1377	1652	1921	1480	1888	1460	1433	1500	1494	1437	1084	1651	1361	1562	1615	1221	1243	1619	1198	1382	1636	1590	1052	1605	1259	1883	1549	1693	1535	1310	1193	1441	1658	1561	1247	1755	1381	1765	1825	1160	1428	1870	1746	1485	1540	1532	1006	1570	1306	1583	1407	1610	1382	1207	1389	1618	1472	1661	1276	1690	1672	1564	1660	1110	1408	1184	1560	1075	1968	1304	1233	1316	1700	1293	1353	1061	1687	1150	1349	1267	1500	1158	1014	1303	1644
15/04/2022 10:00:00 AM	14	1564	1551	1328	1387	2162	1147	1479	1420	1667	807	1704	1430	1778	1164	1745	1457	1763	1165	1898	1524	1507	1264	1693	1311	1775	1630	1332	1377	1947	1267	2106	1728	1778	1026	1939	1721	1597	1320	1881	1579	1731	1543	1566	1598	1533	1441	1591	1771	2063	1769	1819	1503	2140	1413	2171	1706	1864	1277	2040	1559	2015	1687	2025	1641	1840	1725	1770	1904	1545	1479	1578	1692	1786	1891	1442	1420	2012	1217	1828	1513	2205	1482	2204	1299	1949	1922	1908	1629	1777	1576	1715	1518	1530	1195	1684	1390	2025	1618	1525	1520	1991	2018	1504	1808	1908	1324	2061	1391	1973	1910	1930	1962	1716	1565	1755	1786	1656	1364	1713	1606	1797	1841	1273	1526	1827	1845	1479	1359	1917	1363	1672	1278	1872	2152	1684	1833	1626	1489	1529	1609	1658	1246	1717	1504	2021	1619	1317	1289	1848	1686	1444	1522	1703	1288	1852	1479	1738	1997	1578	2027	1486	1473	1560	1500	1567	1150	1750	1439	1665	1759	1323	1303	1676	1283	1438	1702	1645	1113	1688	1307	1992	1655	1826	1624	1360	1269	1472	1710	1686	1357	1836	1512	1896	1968	1260	1502	2000	1871	1587	1661	1583	1063	1592	1356	1647	1527	1699	1465	1241	1462	1686	1557	1784	1357	1832	1806	1701	1738	1185	1500	1253	1616	1143	2063	1332	1273	1370	1745	1310	1389	1086	1747	1205	1426	1321	1559	1239	1054	1381	1725
15/04/2022 12:00:00 PM	16	1687	1642	1350	1504	2250	1214	1596	1502	1756	833	1831	1509	1896	1258	1858	1566	1878	1252	2022	1572	1579	1327	1817	1377	1925	1711	1382	1465	2074	1365	2266	1818	1877	1055	2014	1798	1696	1393	1993	1657	1819	1626	1665	1738	1612	1529	1716	1880	2172	1893	1937	1573	2286	1469	2354	1822	1984	1362	2128	1622	2150	1761	2117	1730	1940	1851	1883	2030	1670	1567	1697	1817	1911	1991	1524	1504	2093	1300	1935	1554	2298	1566	2323	1340	2093	1996	1977	1746	1870	1657	1829	1572	1600	1251	1774	1508	2232	1708	1645	1623	2122	2120	1621	1882	1959	1350	2227	1418	2140	2034	2042	2101	1839	1714	1889	1919	1738	1399	1841	1738	1940	1959	1331	1635	1904	1921	1548	1402	1990	1449	1754	1324	2003	2260	1807	1964	1645	1535	1537	1633	1772	1324	1814	1548	2213	1680	1408	1390	1890	1782	1511	1571	1796	1388	1920	1522	1837	2152	1645	2138	1556	1524	1618	1572	1689	1255	1881	1520	1754	1884	1384	1390	1745	1305	1522	1771	1666	1150	1690	1343	2118	1740	1914	1745	1399	1284	1542	1741	1806	1426	1984	1604	2047	2088	1327	1629	2128	2002	1706	1768	1634	1100	1653	1315	1765	1628	1817	1574	1313	1548	1827	1617	1879	1434	1947	1896	1819	1869	1253	1600	1361	1753	1209	2219	1351	1274	1409	1765	1396	1479	1113	1814	1253	1502	1418	1635	1270	1110	1449	1793
15/04/2022 2:00:00 PM	18	1770	1718	1462	1579	2397	1288	1681	1597	1871	886	1954	1568	1983	1338	1937	1724	2011	1331	2109	1679	1693	1439	1861	1478	2024	1849	1468	1563	2193	1428	2383	1934	1993	1099	2125	1890	1789	1485	2136	1726	1962	1704	1770	1840	1673	1607	1817	1994	2330	1994	2076	1674	2401	1550	2438	1936	2086	1427	2319	1721	2245	1875	2243	1837	2085	1962	2004	2127	1769	1653	1802	1959	2026	2143	1606	1606	2196	1374	2107	1702	2415	1656	2463	1418	2168	2156	2131	1857	2030	1723	1979	1645	1713	1347	1904	1583	2323	1792	1722	1741	2273	2280	1710	1978	2047	1402	2317	1451	2244	2102	2172	2227	1965	1795	2011	2033	1837	1511	1945	1805	2047	2088	1413	1751	2014	2018	1646	1465	2063	1511	1797	1351	2118	2397	1917	2051	1692	1586	1563	1668	1892	1406	1901	1658	2347	1800	1515	1456	2008	1868	1589	1654	1857	1439	1950	1512	1954	2249	1773	2299	1590	1551	1635	1594	1780	1288	1977	1601	1881	1984	1485	1485	1812	1369	1600	1881	1665	1139	1718	1381	2247	1857	2049	1860	1433	1310	1550	1808	1892	1524	2115	1688	2178	2269	1429	1743	2248	2143	1809	1844	1667	1080	1668	1371	1881	1701	1928	1626	1379	1612	1909	1661	2038	1563	2046	2013	1919	2001	1345	1724	1477	1860	1281	2402	1397	1303	1407	1813	1432	1550	1190	1932	1339	1585	1519	1725	1372	1164	1531	1940
