Label: HCT116_NuclightRED_WT_ADCtest3_Payloads_20220414
Metric: Red Object Count (1/Image)
Cell Type: HCT116 NuclightRED WT
Passage: 13
Notes: 
Analysis Job: HCT116_NuclightRED_WT_ADCtest3_Payloads_20220414

Date Time	Elapsed	B2, Image 1	B2, Image 2	B2, Image 3	B2, Image 4	C2, Image 1	C2, Image 2	C2, Image 3	C2, Image 4	D2, Image 1	D2, Image 2	D2, Image 3	D2, Image 4	E2, Image 1	E2, Image 2	E2, Image 3	E2, Image 4	F2, Image 1	F2, Image 2	F2, Image 3	F2, Image 4	G2, Image 1	G2, Image 2	G2, Image 3	G2, Image 4	B3, Image 1	B3, Image 2	B3, Image 3	B3, Image 4	C3, Image 1	C3, Image 2	C3, Image 3	C3, Image 4	D3, Image 1	D3, Image 2	D3, Image 3	D3, Image 4	E3, Image 1	E3, Image 2	E3, Image 3	E3, Image 4	F3, Image 1	F3, Image 2	F3, Image 3	F3, Image 4	G3, Image 1	G3, Image 2	G3, Image 3	G3, Image 4	B4, Image 1	B4, Image 2	B4, Image 3	B4, Image 4	C4, Image 1	C4, Image 2	C4, Image 3	C4, Image 4	D4, Image 1	D4, Image 2	D4, Image 3	D4, Image 4	E4, Image 1	E4, Image 2	E4, Image 3	E4, Image 4	F4, Image 1	F4, Image 2	F4, Image 3	F4, Image 4	G4, Image 1	G4, Image 2	G4, Image 3	G4, Image 4	B5, Image 1	B5, Image 2	B5, Image 3	B5, Image 4	C5, Image 1	C5, Image 2	C5, Image 3	C5, Image 4	D5, Image 1	D5, Image 2	D5, Image 3	D5, Image 4	E5, Image 1	E5, Image 2	E5, Image 3	E5, Image 4	F5, Image 1	F5, Image 2	F5, Image 3	F5, Image 4	G5, Image 1	G5, Image 2	G5, Image 3	G5, Image 4	B6, Image 1	B6, Image 2	B6, Image 3	B6, Image 4	C6, Image 1	C6, Image 2	C6, Image 3	C6, Image 4	D6, Image 1	D6, Image 2	D6, Image 3	D6, Image 4	E6, Image 1	E6, Image 2	E6, Image 3	E6, Image 4	F6, Image 1	F6, Image 2	F6, Image 3	F6, Image 4	G6, Image 1	G6, Image 2	G6, Image 3	G6, Image 4	B7, Image 1	B7, Image 2	B7, Image 3	B7, Image 4	C7, Image 1	C7, Image 2	C7, Image 3	C7, Image 4	D7, Image 1	D7, Image 2	D7, Image 3	D7, Image 4	E7, Image 1	E7, Image 2	E7, Image 3	E7, Image 4	F7, Image 1	F7, Image 2	F7, Image 3	F7, Image 4	G7, Image 1	G7, Image 2	G7, Image 3	G7, Image 4	B8, Image 1	B8, Image 2	B8, Image 3	B8, Image 4	C8, Image 1	C8, Image 2	C8, Image 3	C8, Image 4	D8, Image 1	D8, Image 2	D8, Image 3	D8, Image 4	E8, Image 1	E8, Image 2	E8, Image 3	E8, Image 4	F8, Image 1	F8, Image 2	F8, Image 3	F8, Image 4	G8, Image 1	G8, Image 2	G8, Image 3	G8, Image 4	B9, Image 1	B9, Image 2	B9, Image 3	B9, Image 4	C9, Image 1	C9, Image 2	C9, Image 3	C9, Image 4	D9, Image 1	D9, Image 2	D9, Image 3	D9, Image 4	E9, Image 1	E9, Image 2	E9, Image 3	E9, Image 4	F9, Image 1	F9, Image 2	F9, Image 3	F9, Image 4	G9, Image 1	G9, Image 2	G9, Image 3	G9, Image 4	B10, Image 1	B10, Image 2	B10, Image 3	B10, Image 4	C10, Image 1	C10, Image 2	C10, Image 3	C10, Image 4	D10, Image 1	D10, Image 2	D10, Image 3	D10, Image 4	E10, Image 1	E10, Image 2	E10, Image 3	E10, Image 4	F10, Image 1	F10, Image 2	F10, Image 3	F10, Image 4	G10, Image 1	G10, Image 2	G10, Image 3	G10, Image 4	B11, Image 1	B11, Image 2	B11, Image 3	B11, Image 4	C11, Image 1	C11, Image 2	C11, Image 3	C11, Image 4	D11, Image 1	D11, Image 2	D11, Image 3	D11, Image 4	E11, Image 1	E11, Image 2	E11, Image 3	E11, Image 4	F11, Image 1	F11, Image 2	F11, Image 3	F11, Image 4	G11, Image 1	G11, Image 2	G11, Image 3	G11, Image 4
14/04/2022 8:00:00 PM	0	307	408	291	286	630	398	697	592	705	502	552	654	400	275	446	408	380	298	381	369	311	291	367	340	490	559	225	489	639	775	799	905	795	918	838	758	556	271	588	542	531	393	589	537	336	307	472	486	675	383	314	417	561	782	859	791	943	822	845	794	623	232	658	380	460	432	740	514	377	332	523	500	543	536	309	579	658	628	821	680	953	942	808	892	538	327	603	502	521	457	693	658	278	247	467	509	485	622	336	504	822	723	695	879	859	716	852	780	675	294	727	454	546	445	554	644	298	303	515	447	648	538	408	457	530	632	544	485	1006	834	746	921	667	300	682	515	499	476	730	694	313	312	576	544	582	483	340	328	580	581	515	497	1080	800	930	787	710	340	756	428	411	460	535	524	459	246	591	517	561	598	353	383	794	512	700	647	956	493	1040	945	563	374	795	488	451	449	581	520	344	252	550	429	439	501	304	355	566	595	543	525	749	631	899	890	534	330	620	577	380	367	550	551	315	349	451	556	394	548	311	407	324	637	341	617	488	611	470	843	321	440	403	802	355	530	389	577	255	363	315	498
14/04/2022 10:00:00 PM	2	327	438	285	294	606	392	664	554	545	419	446	521	417	284	471	451	415	312	410	392	336	307	380	363	503	580	235	499	489	647	638	718	642	726	679	652	562	290	625	597	563	421	615	566	350	334	487	504	693	404	336	442	448	628	723	667	762	766	735	709	674	243	692	414	485	439	765	533	390	342	534	524	561	563	307	610	600	554	747	624	772	813	672	721	569	344	632	553	555	504	723	688	312	266	499	522	495	650	345	526	703	685	609	761	661	589	676	600	709	293	767	453	589	481	566	678	296	319	554	475	675	562	410	476	538	594	516	470	743	660	527	718	692	317	737	527	516	485	770	702	332	339	610	578	615	474	349	362	579	591	490	478	896	641	781	646	751	347	786	466	454	489	563	555	487	273	603	563	583	608	387	397	661	444	606	552	743	400	734	687	595	401	846	510	495	464	615	549	380	264	583	444	460	506	324	375	612	628	576	520	560	496	673	725	564	338	647	607	400	382	599	567	333	373	481	581	391	553	318	429	348	681	335	639	394	541	415	744	345	485	427	797	394	585	407	616	284	391	329	529
15/04/2022 12:00:00 AM	4	343	457	298	312	610	397	643	561	482	367	369	434	450	296	481	461	425	322	428	396	347	313	392	369	538	614	253	520	432	585	550	636	585	652	601	590	610	302	645	617	580	451	635	595	377	348	519	530	700	419	350	460	376	549	581	565	671	684	650	641	698	254	731	423	495	452	800	576	415	366	578	544	581	593	320	635	559	556	661	579	626	716	549	636	595	361	664	555	569	520	757	718	321	293	532	539	529	646	358	557	669	686	555	744	598	502	546	503	740	315	809	474	616	495	590	700	301	326	556	481	732	586	430	493	562	596	535	484	626	548	440	583	728	336	765	575	543	519	801	743	341	350	631	609	648	497	361	380	605	596	473	490	799	570	683	586	773	376	847	478	465	508	589	564	501	282	621	558	597	644	409	412	612	417	593	501	637	335	602	544	633	422	903	537	506	489	636	591	390	284	603	464	484	543	333	392	632	628	588	561	520	417	555	619	604	355	684	647	414	412	637	588	345	386	486	604	436	594	333	446	366	694	346	686	374	485	359	681	360	495	444	843	416	601	434	642	297	420	348	557
15/04/2022 2:00:00 AM	6	353	488	319	343	632	400	654	574	441	332	317	371	461	318	523	496	474	366	459	426	359	329	423	370	583	648	258	568	361	550	482	604	493	608	529	539	666	321	711	663	624	497	688	634	396	361	529	570	750	430	369	489	346	478	501	522	622	663	625	628	727	269	768	459	544	485	836	607	455	380	617	583	619	619	326	660	542	576	630	550	578	683	492	570	652	376	705	600	606	558	791	752	355	303	549	583	596	677	374	589	633	691	516	710	559	466	474	439	820	342	862	512	645	535	641	764	314	353	586	526	768	620	444	511	562	603	546	490	532	476	349	455	777	352	812	603	562	536	809	771	359	381	683	638	674	512	388	387	604	605	476	504	746	525	641	534	805	396	909	499	480	537	603	576	519	292	684	606	648	679	435	435	587	427	569	469	594	304	533	461	667	440	942	562	543	516	682	615	420	305	644	510	533	581	342	402	643	643	600	583	471	359	480	536	628	390	733	689	439	423	667	621	365	417	500	632	460	610	345	455	367	719	373	683	340	469	331	583	378	515	471	868	435	667	437	662	310	429	359	614
15/04/2022 4:00:00 AM	8	399	543	338	377	622	409	667	583	389	323	288	331	494	341	554	529	498	386	492	456	393	359	427	410	612	725	289	638	340	482	431	574	470	550	467	487	726	341	754	719	692	515	731	664	414	405	574	615	829	493	423	526	302	419	448	476	598	629	591	586	809	290	815	484	573	536	926	644	489	400	653	649	687	670	363	722	519	564	618	529	512	631	460	539	699	409	746	637	659	600	899	827	363	330	597	634	589	778	402	604	626	669	493	684	515	437	410	394	882	370	928	559	699	576	714	834	338	392	643	547	838	670	483	565	568	606	553	494	475	420	305	403	863	376	878	633	572	560	871	802	387	404	742	663	716	542	394	419	608	607	485	514	690	486	568	476	863	424	942	520	504	545	624	612	571	326	747	659	697	699	451	462	544	413	535	467	525	271	478	394	704	463	1002	595	556	528	694	630	440	325	668	546	557	621	375	435	690	699	629	598	424	322	403	510	676	392	797	743	478	449	708	673	399	455	529	679	461	623	349	488	382	737	375	718	322	412	291	555	383	554	500	909	456	673	471	698	342	468	394	628
15/04/2022 6:00:00 AM	10	445	580	365	391	636	454	648	617	344	287	266	320	560	383	612	593	521	421	536	480	413	381	481	439	679	779	294	669	314	460	415	522	419	519	434	465	794	352	823	793	721	558	797	725	452	434	628	657	901	508	452	584	286	369	388	448	583	582	541	573	861	310	903	513	615	590	1027	724	531	432	703	696	712	724	375	793	527	579	575	541	490	607	400	483	762	436	810	683	739	651	947	904	383	353	626	689	666	802	435	674	600	684	470	662	461	369	362	351	950	404	1010	593	789	638	779	912	372	422	694	587	904	699	495	602	574	606	564	505	439	398	257	350	925	400	970	697	601	580	869	830	413	437	822	715	755	575	427	441	627	618	481	526	627	468	523	453	902	444	1005	563	519	567	640	651	633	348	800	727	747	761	467	488	535	403	524	452	475	257	436	361	753	504	1059	660	569	557	731	661	480	354	750	622	596	668	395	447	720	722	650	634	388	283	359	447	726	423	882	769	498	481	737	702	421	496	557	744	467	660	370	496	416	803	382	777	287	386	291	520	409	572	511	961	497	719	491	721	371	529	402	691
15/04/2022 8:00:00 AM	12	449	630	409	451	632	470	656	663	311	272	251	297	596	398	684	667	555	453	579	536	470	450	516	468	749	832	328	760	294	427	360	495	411	472	404	432	860	401	908	851	802	578	867	799	512	460	670	725	991	561	500	650	268	345	334	401	538	557	516	543	934	338	987	576	680	647	1078	805	580	483	799	765	796	799	436	866	514	610	546	521	448	578	384	463	828	471	892	770	812	700	1040	954	423	381	678	766	739	890	483	739	588	691	456	641	462	359	326	327	1039	439	1102	632	848	693	857	1020	411	465	749	638	975	770	588	644	576	616	569	497	390	350	235	290	1018	448	1028	739	601	589	906	868	441	473	897	767	819	677	464	464	630	605	484	545	604	419	515	409	971	470	1099	591	539	576	652	656	667	368	887	800	818	831	522	551	501	392	543	445	437	237	386	354	809	512	1150	694	576	549	752	674	528	396	816	636	660	716	434	477	754	747	686	659	346	248	304	422	767	455	934	833	516	495	770	719	479	549	638	799	502	691	390	535	433	827	404	825	275	365	264	484	425	589	543	1003	500	741	505	765	411	566	446	762
15/04/2022 10:00:00 AM	14	530	723	440	492	677	486	670	685	277	271	234	280	633	428	743	729	614	500	616	574	507	474	560	504	804	922	366	839	278	421	320	481	390	447	398	409	918	425	980	934	888	645	951	876	551	500	739	827	1105	623	535	708	258	325	293	369	534	551	487	528	1042	368	1081	637	751	696	1226	887	636	541	883	859	860	887	458	937	534	607	530	528	436	547	369	440	936	524	997	819	874	796	1135	1044	443	422	759	810	783	940	525	848	581	685	448	653	413	337	285	304	1105	460	1199	713	943	769	914	1122	461	502	816	688	1058	851	632	713	603	620	562	501	357	326	204	258	1080	471	1147	833	626	618	921	891	503	508	953	852	869	701	503	527	645	634	483	549	573	414	480	407	1038	496	1181	630	553	598	661	683	722	435	959	893	869	917	554	603	480	378	527	414	412	224	351	303	855	558	1261	746	620	579	770	691	577	427	904	742	718	751	466	547	785	777	730	699	320	237	263	384	815	493	1014	892	543	508	801	783	538	580	705	875	538	739	415	573	452	900	425	869	240	341	248	452	422	600	557	1037	527	780	520	792	443	628	494	851
15/04/2022 12:00:00 PM	16	584	787	484	549	688	515	675	711	276	255	241	264	725	486	809	773	679	541	683	636	559	535	621	565	860	984	411	909	270	411	318	437	360	446	359	384	1033	476	1079	1013	964	714	1020	950	589	550	789	883	1210	716	648	764	250	297	268	337	522	521	461	513	1122	407	1176	641	796	755	1304	949	669	557	941	909	954	947	542	1025	540	616	503	518	404	541	347	418	978	578	1079	888	977	854	1226	1161	474	448	828	884	892	1068	551	863	587	719	447	618	396	322	271	287	1241	493	1321	743	1005	859	999	1222	493	540	899	746	1167	934	684	776	627	635	571	504	358	310	193	233	1174	493	1209	880	641	636	945	906	549	564	1059	936	1001	793	566	555	666	665	487	564	524	398	466	362	1093	538	1277	671	564	591	697	696	783	462	1028	973	929	999	610	659	500	366	507	412	400	216	307	305	901	574	1345	787	594	570	784	713	622	475	972	756	772	836	499	601	859	847	772	750	303	233	266	369	877	527	1085	958	562	532	809	775	605	646	757	929	576	802	453	611	499	950	459	927	238	311	224	422	451	609	581	1091	564	798	558	841	476	637	553	905
15/04/2022 2:00:00 PM	18	637	859	528	597	729	531	697	770	271	280	222	260	797	524	888	848	743	585	736	691	591	571	687	627	945	1071	448	974	258	410	299	421	335	412	362	377	1127	531	1171	1067	1037	790	1111	1077	641	606	866	949	1310	748	689	839	239	287	258	326	496	520	443	516	1218	436	1298	707	849	830	1410	1027	741	634	1029	1005	1053	1014	580	1124	553	641	508	497	386	534	326	423	1067	608	1169	968	1046	916	1353	1290	536	490	886	939	975	1157	611	955	590	728	437	602	385	318	239	270	1328	558	1427	797	1110	934	1083	1295	521	574	987	839	1283	1015	772	849	621	622	569	503	330	294	188	214	1292	539	1318	958	661	661	972	944	589	601	1186	1024	1111	864	627	591	672	662	489	569	502	359	430	367	1189	587	1320	724	572	606	728	722	863	495	1172	1073	1050	1079	667	710	478	374	505	412	362	213	292	288	978	643	1418	848	618	587	798	738	689	513	1035	825	817	925	545	637	913	900	826	800	287	220	234	331	941	558	1152	1052	565	556	860	820	641	698	832	1029	624	857	493	655	538	1043	490	994	227	290	209	389	473	642	624	1135	602	826	580	889	505	684	602	990
